round,item_id,task_type,ref_answer,ann2_answer,agree
3,REG_175,REG,"Under Regulation 16(2), if a client fails to cooperate, the CRA must still carry out the review on the basis of best available information (or as specified by the Board), and must disclose to investors that the rating is based on best available information due to lack of client cooperation. Under Regulation 16(3), a CRA may not withdraw a rating so long as the obligations under the rated security are outstanding — withdrawal is only permitted if the rated company is wound up, or merged/amalgamated with another company (or as otherwise specified by the Board).","Under Regulation 16(2), if the client does not cooperate with the credit rating agency during the review process, the CRA shall carry out the review on the basis of the best available information or in the manner specified by SEBI from time to time. If a rating has been based on best available information due to such lack of co-operation, the CRA must disclose this fact to investors. Under Regulation 16(3), a CRA shall NOT withdraw a rating so long as the obligations under the rated security are outstanding. The only exceptions permitting withdrawal are: (a) the company whose security is rated is wound up, or (b) merged or amalgamated with another company.",1
3,REG_184,REG,"Under Regulation 28E(m)(iv), a Category I ESG rating provider must maintain a minimum liquid net worth of Rs 5 crore at all times on an ongoing basis. At the time of making the application for registration, the applicant must have a minimum liquid net worth equal to the higher of: (A) Rs 10 crore, or (B) Rs 5 crore plus the applicant's own projected target of cumulative cash losses until its targeted breakeven date.","Ongoing requirement: A Category I ESG rating provider must maintain a minimum liquid net worth of Rs 5 crore at all times. Application-time requirement: At the time of making the application, the applicant must have a minimum liquid net worth of the HIGHER of: (A) Rs 10 crore, OR (B) Rs 5 crore plus the target on cumulative cash losses until breakeven.",1
3,REG_195,REG,The shares must: (a) be listed and frequently traded; (b) have been listed for at least 2 years before the date of public announcement; (c) the issuer must have redressed at least 95% of investor complaints in the preceding calendar quarter; (d) the issuer must have materially complied with listing regulations for at least 2 years preceding the public announcement; (e) impact of auditors' qualifications must not exceed 5% of net profit or loss after tax for three preceding financial years; and (f) SEBI must not have issued any direction restricting the issuer's access to capital markets or issuance of fresh shares.,"Under Regulation 9(2), listed shares offered as non-cash consideration in an open offer must satisfy all of the following conditions: (a) they are listed and frequently traded; (b) they have been listed for at least two years preceding the date of public announcement; (c) the issuer has redressed at least 95% of complaints received from investors in the preceding calendar quarter; (d) the issuer has been in material compliance with listing regulations for at least two years immediately preceding the date of public announcement; (e) the impact of auditors' qualifications does not exceed 5% of net profit or loss after tax for the three immediately preceding financial years; (f) SEBI has not issued directions against the issuer restricting access to the capital market.",1
3,REG_180,REG,"Under Regulation 24A, a CRA may not directly or indirectly hold 10% or more shareholding or voting rights in any other CRA, and may not have board representation in any other CRA. Additionally, any shareholder holding 10% or more in one CRA may not hold 10% or more (directly or indirectly) in any other CRA. There is an exemption: these cross-shareholding restrictions do not apply to holdings by Pension Funds, Insurance Schemes, and Mutual Fund Schemes.","Under Regulation 24A(1): (a) No CRA shall directly or indirectly hold 10% or more shareholding and/or voting rights in any other CRA, and (b) no CRA shall have representation on the Board of any other CRA. Under Regulation 24A(2): A shareholder holding 10% or more shares and/or voting rights in a CRA shall not hold 10% or more shares and/or voting rights, directly or indirectly, in any other CRA. Exemption: The restriction in sub-regulation (2) does not apply to holdings by Pension Funds, Insurance Schemes, and Mutual Fund Schemes.",1
3,REG_202,REG,"The board is prohibited from: (a) alienating material assets outside ordinary course of business; (b) effecting material borrowings outside ordinary course; (c) issuing unissued securities with voting rights; (d) implementing share buy-backs or changing capital structure; (e) entering into, amending or terminating material contracts outside ordinary course; and (f) accelerating any contingent vesting of rights such as ESOPs.","Under Regulation 26(2), unless shareholder approval is obtained by special resolution through postal ballot, the board of directors of the target company (or any of its subsidiaries) shall not during the offer period: (a) alienate any material assets outside the ordinary course of business; (b) effect any material borrowings outside the ordinary course of business; (c) issue or allot any authorised but unissued securities entitling voting rights; (d) implement any buy-back or effect capital structure changes; (e) enter into, amend or terminate material contracts outside the ordinary course of business; (f) accelerate any contingent vesting of rights, including ESOPs.",1
3,REG_165,REG,"Under Regulation 16(1)(c), Category I AIFs shall not borrow funds or engage in leverage for investment purposes. The only permitted borrowing is for temporary funding requirements and day-to-day operational requirements, subject to three cumulative conditions: (1) borrowing shall not be for more than thirty days at a time; (2) borrowing shall not occur on more than four occasions in a year; and (3) borrowing shall not exceed ten percent of the investable funds.",A Category I AIF may borrow funds only to meet temporary funding requirements and day-to-day operational requirements. Three specific restrictions apply cumulatively to such borrowing: (1) Duration: not more than thirty days per borrowing instance; (2) Frequency: not more than four occasions in a year; (3) Quantum: not more than ten percent of the investable funds. Borrowing for any purpose other than temporary funding and operational requirements is not permitted.,1
3,REG_182,REG,"Under Regulation 27(1), a CRA shall not rate securities of: (a) a borrower of its promoter; (b) a subsidiary of its promoter; or (c) an associate of its promoter — if there are common Chairmen, directors, or employees between the CRA and such entities, or common persons on the rating committee. Under Regulation 27(2), a CRA shall also not rate securities of its own associate or subsidiary if the CRA or its rating committee shares a Chairman, director, or employee with such entities.","Under Regulation 27(1): No CRA shall rate a security issued by an entity that is (a) a borrower of its promoter, (b) a subsidiary of its promoter, or (c) an associate of its promoter, IF there are common Chairman or Directors between the CRA and those entities, or common employees, or common Chairman, Directors, or Employees on the rating committee. Under Regulation 27(2): No CRA shall rate a security issued by its own associate or subsidiary if the CRA or its rating committee has a Chairman, director or employee who is also a Chairman, director or employee of any such associate or subsidiary entity.",1
3,REG_141,REG,"No, not immediately. Under Regulation 15(7), an investment adviser is prohibited from entering transactions on its own account contrary to client advice for 15 days from the day of advice. Even if the situation has changed within those 15 days, the adviser cannot act immediately — it must first give a revised assessment to clients at least 24 hours in advance before entering the contrary own-account transaction. So the adviser must provide the revised assessment and then wait at least 24 hours before selling from its own account.","No, the adviser cannot immediately sell. Under Regulation 15(7), the investment adviser is prohibited from entering into transactions contrary to the advice given to clients for a period of fifteen days from the day of such advice. Since only 10 days have elapsed, the adviser is still within the 15-day prohibition window. However, the proviso permits an exception: if the adviser is of the opinion that the situation has changed within those 15 days, it may enter into the contrary own-account transaction ONLY after giving a revised assessment to the client at least 24 hours in advance of entering into such transaction. Accordingly, the adviser must first issue the revised assessment to clients, then wait at least 24 hours before executing the sale from its own account.",1
3,REG_147,REG,"Under Regulation 22A, implementation services may be provided subject to four conditions: (1) No consideration (commission, referral fees, or any indirect benefit) shall be received by the investment adviser or its group or family at any level for the implementation service; (2) Implementation services must be provided only through direct schemes/products in the securities market; (3) No implementation fees shall be charged from the client by the investment adviser, its group, or family; (4) The client is not under any obligation to avail the implementation services offered by the adviser.","The four key conditions governing an investment adviser's provision of implementation services under Regulation 22A are: (1) No consideration (including any commission or referral fees, whether embedded, indirect, or otherwise) shall be received directly or indirectly at the investment adviser's group or family level for the said service; (2) Implementation services shall be provided to advisory clients only through direct schemes/products in the securities market; (3) Neither the investment adviser nor its group or family shall charge any implementation fees from the client; (4) The client shall not be under any obligation to avail the implementation services offered by the investment adviser.",1
3,REG_196,REG,The shareholder must reduce their shareholding such that voting rights fall below the 25% threshold within 90 days from the date of closure of the buy-back offer.,"Under Regulation 10(3), to claim exemption from the open offer obligation when voting rights exceed the threshold solely due to a buy-back by the target company, the shareholder must reduce its shareholding such that its voting rights fall BELOW the threshold referred to in sub-regulation (1) of Regulation 3 WITHIN NINETY DAYS from the date of the closure of the said buy-back offer. Failure to reduce shareholding within this 90-day window would mean the exemption is not available.",1
3,REG_137,REG,"An individual investment adviser must transition to non-individual status when either: (i) the number of clients exceeds 300 at any point of time, OR (ii) the fee collected during the financial year exceeds Rs 3 crore — whichever occurs earlier. Upon breaching the threshold, the IA must immediately intimate the Administration and Supervisory Body and initiate the transition process, and must apply for in-principle approval for non-individual registration within 3 months from the date the threshold is reached.","The dual threshold that triggers mandatory transition is: (i) the number of clients exceeds 300 at any point of time, OR (ii) the fee collected during the financial year exceeds Rs 3 crore — whichever occurs earlier. Upon breaching either threshold, the individual IA must: (i) immediately intimate the Administration and Supervisory Body and initiate the process of transition from individual to non-individual investment adviser; and (ii) apply for grant of in-principle approval for registration as a non-individual investment adviser within 3 months from the date on which the threshold is reached.",1
3,REG_113,REG,10% of NAV; may be extended to 12% with prior approval of both the Board of Trustees and the Board of Directors of the AMC,"The standard investment limit is 10% of the scheme's NAV in debt instruments (comprising both money market instruments and non-money market instruments) issued by a single issuer, provided such instruments are rated not below investment grade by an authorised credit rating agency. This limit may be extended to 12% of NAV with the prior approval of both the Board of Trustees AND the Board of Directors of the asset management company. The limit does not apply to investments in Government Securities, treasury bills, and triparty repo on Government securities or treasury bills.",1
3,REG_102,REG,Before the 15th April each year; the Board may allow payment up to two months from commencement of the financial year,"A mutual fund must pay its annual service fee before the 15th April of each year (for the financial year following the year of registration). SEBI may, if satisfied with the reasons for delay, permit the mutual fund to pay the fee at any time before the expiry of two months from the commencement of the financial year to which such fee relates. Since the financial year commences on April 1, this grace period extends to the end of May (i.e., by May 31).",1
3,REG_114,REG,Unlisted securities of an associate or group company of the sponsor; and securities issued by private placement by an associate or group company of the sponsor,"Under paragraph 9 of the Seventh Schedule, two categories of securities are absolutely prohibited for mutual fund scheme investment: (a) any unlisted security of an associate or group company of the sponsor; and (b) any security issued by way of private placement by an associate or group company of the sponsor. (Note: Listed securities of group companies of the sponsor are not absolutely prohibited but are capped at 25% of net assets under clause (c).)",1
3,REG_122,REG,Not more than 10% of NAV overall; not more than 5% of NAV in units of a single InvIT issuer,"Under paragraph 13 of the Seventh Schedule, a mutual fund scheme may not invest: (i) more than 10% of its NAV in the units of InvIT in aggregate (overall cap); and (ii) more than 5% of its NAV in the units of InvIT issued by any single InvIT issuer (per-issuer cap). Exception: Both limits are not applicable for investments by index funds or sector/industry specific schemes pertaining to REIT and InvIT.",1
3,REG_118,REG,5 per cent of the net asset value of the mutual fund (this restriction does not apply to fund of funds schemes),"Under paragraph 4 of the Seventh Schedule, the aggregate inter-scheme investment made by all schemes under the same AMC management (or in schemes under the management of any other asset management company) shall not exceed 5% of the net asset value of the mutual fund. Such inter-scheme investments must be made without charging any fees. Exception: This restriction does not apply to any fund of funds scheme.",1
3,REG_059,REG,"More than five hundred crore rupees, as per the latest audited financial statements","Under SEBI (InvIT) Regulations 2014, a family trust or an intermediary registered with the Board must have a net worth of MORE THAN Rs 500 crore, as per the latest audited financial statements, to qualify as an 'institutional investor'. (The other category of institutional investor under this definition is a qualified institutional buyer, for which no minimum net worth is separately specified here.)",1
3,REG_159,REG,"Under Regulations 13(1) and (2), Category I and II AIFs must be close-ended and the tenure of the fund or scheme must be determined at the time of application; such funds or their schemes must have a minimum tenure of three years. Under Regulation 13(3), schemes of Category III AIFs have no such restriction — they may be open-ended or close-ended.","Category I and II AIFs must be CLOSE ENDED; the tenure of the fund or scheme is determined at the time of application, subject to sub-regulation (2). Both Category I and II AIFs (or schemes launched by such funds) must have a MINIMUM TENURE OF THREE YEARS. Category III AIF schemes may be EITHER OPEN ENDED OR CLOSE ENDED — there is no structural restriction or minimum tenure requirement specified for Category III.",1
3,REG_120,REG,"To meet temporary liquidity needs for repurchase, redemption or payment of interest or dividend; borrowing shall not exceed 20 per cent of the net assets of the scheme; duration shall not exceed six months","A mutual fund may borrow only to meet TEMPORARY LIQUIDITY NEEDS for the purpose of repurchase, redemption of units, or payment of interest or dividend to unitholders. Borrowing for any other purpose is not permitted. The two quantitative limits are: (1) Quantum limit: the mutual fund shall not borrow more than 20% of the net asset of the scheme; and (2) Duration limit: the duration of such borrowing shall not exceed a period of six months.",1
3,REG_061,REG,"A practising chartered accountant or valuer, as applicable","Under SEBI (InvIT) Regulations 2014, when the investment manager has advised that there may be a conflict of interest in a transaction between the investment manager and its associates, the trustee must review the transaction and obtain confirmation from a PRACTISING CHARTERED ACCOUNTANT OR VALUER, as applicable, that such transaction is on an arm's length basis.",1
3,REG_200,REG,"The acquirer may complete the acquisition after expiry of 21 working days from the date of the detailed public statement, provided they have deposited in the escrow account, in cash, an amount equal to the entire consideration payable under the open offer assuming full acceptance.","Under Regulation 22(2), the acquirer may complete the underlying acquisition (and parties to the agreement may act upon it) after the expiry of TWENTY-ONE WORKING DAYS from the date of the detailed public statement, PROVIDED THAT the acquirer has deposited in the escrow account CASH of an amount equal to the ENTIRE CONSIDERATION payable under the open offer assuming full acceptance of the open offer. This is an exception to the general rule in sub-regulation (1) that prohibits acting on the agreement during the offer period.",1
3,REG_155,REG,"Under Regulation 10(d), the Manager or Sponsor must maintain a continuing interest of not less than 2.5% of the corpus or Rs 5 crore, whichever is lower, in the form of investment in the AIF (not via waiver of management fees). For Category III AIFs, the threshold is higher: not less than 5% of the corpus or Rs 10 crore, whichever is lower.","Under Regulation 10(d), the Manager or Sponsor must maintain a continuing interest in the AIF in the form of actual investment in the AIF (not through waiver of management fees). For Category I and II AIFs: the continuing interest must be not less than 2.5% of the corpus OR Rs 5 crore, WHICHEVER IS LOWER. For Category III AIF: the continuing interest must be not less than 5% of the corpus OR Rs 10 crore, WHICHEVER IS LOWER. Yes, the requirement differs — Category III requires a higher absolute and proportionate continuing interest than Category I/II.",1
3,REG_166,REG,"Under Regulation 16(2)(a), at least 75% of the investable funds of a venture capital fund must be invested in unlisted equity shares or equity-linked instruments of a venture capital undertaking, or in companies listed or proposed to be listed on an SME exchange or SME segment of an exchange. This 75% threshold must be achieved by the fund by the end of its life cycle.","Under Regulation 16(2)(a), a venture capital fund (Category I AIF sub-category) must invest at least 75% of its investable funds in: unlisted equity shares or equity linked instruments of a venture capital undertaking, OR in companies listed or proposed to be listed on a SME exchange or SME segment of an exchange. This 75% investment condition must be achieved by the fund by the end of its life cycle.",1
3,REG_154,REG,"Under Regulation 10(c), the minimum investment by any investor in an AIF scheme is Rs one crore. Two exceptions apply: (1) employees or directors of the AIF, or employees or directors of the Manager, have a reduced minimum of Rs twenty-five lakh; (2) the minimum investment requirement does not apply at all to accredited investors.","The minimum investment per investor in an AIF scheme is Rs 1 CRORE. Exception 1 (reduced minimum): For investors who are employees or directors of the AIF, or employees or directors of the Manager, the minimum investment is Rs 25 LAKH. Exception 2 (full exemption): An ACCREDITED INVESTOR is fully exempt from this minimum investment requirement — the minimum threshold does not apply.",1
3,REG_191,REG,"Regulation 6A prohibits wilful defaulters from making a public announcement of an open offer or entering into any transaction triggering an open offer obligation. However, it does not prohibit a wilful defaulter from making a competing offer when another person has made an open offer for shares of the same target company.","Regulation 6A prohibits any person who is a WILFUL DEFAULTER from: (i) making a public announcement of an open offer for acquiring shares, or (ii) entering into any transaction that would attract the obligation to make such a public announcement of an open offer. Exception carved out: The regulation does not prohibit a wilful defaulter from making a COMPETING OFFER upon any OTHER person making an open offer for acquiring shares of the target company. In that specific scenario, the wilful defaulter may participate as a competing bidder.",1
3,REG_079,REG,After three years have lapsed since the default ceased to subsist.,"Under the proviso to the relevant provision, a company that has defaulted on repayment may conduct a buy-back only if TWO CONDITIONS are jointly satisfied: (1) the default has been remedied, AND (2) a period of THREE YEARS has lapsed after such default ceased to subsist. Therefore, the company must wait three years from the date the default ceased to subsist before it can conduct a buy-back.",1
3,NUM_096,NUM,"Rs625 crore (maximum eligible dividend of Rs1,125 crore minus interim dividend already paid of Rs500 crore)","From Illustration 3: Adjusted PAT (C) = Rs 1,500 crore minus 50% of Rs 300 crore = Rs 1,350 crore. 75% of PAT (E) = Rs 1,125 crore. Maximum payable per table at Bucket B10 (100% of Adjusted PAT) (F) = Rs 1,350 crore. Maximum Eligible Dividend (G) = Lower of E or F = Rs 1,125 crore. Less interim dividend already paid (H) = Rs 500 crore. Maximum FINAL dividend = G minus H = Rs 1,125 crore minus Rs 500 crore = Rs 625 crore.",1
3,NUM_110,NUM,"The 15-day prohibition runs from January 10 through January 24 (inclusive; day 1 = January 10, day 15 = January 24). January 22 falls within the prohibition window. Since the situation has changed, the adviser may still transact within the 15-day period provided it gives clients a revised assessment at least 24 hours in advance. If the revised assessment is communicated on January 22 at 3:00 PM, the earliest permissible time to enter the contrary sell transaction is January 23 at 3:00 PM (i.e., 24 hours later).","The 15-day prohibition runs from January 10 (Day 1) through January 24 (Day 15). January 22 is Day 13, which is within the 15-day prohibition window. Under the proviso to Regulation 15(7), since the adviser believes the situation has changed within the 15-day window, the adviser must give a revised assessment to the client at least 24 hours BEFORE entering the contrary own-account transaction. If the revised assessment is given on January 22 at 3:00 PM, then 24 hours later = January 23 at 3:00 PM. The earliest date and time the adviser can enter the contrary sell transaction is January 23 at 3:00 PM.",1
3,NUM_118,NUM,"External institutional investor (Rs 75 lakh): fails the minimum of Rs 1 crore. Director of the Manager (Rs 20 lakh): fails the reduced minimum of Rs 25 lakh applicable to manager's directors. Employee of AIF (Rs 30 lakh): meets the Rs 25 lakh minimum for AIF employees. Accredited investor (Rs 50 lakh): no minimum applies — Regulation 10(c) does not apply to accredited investors. Therefore, two investments fail: the external institutional investor (Rs 75 lakh < Rs 1 crore) and the director of the Manager (Rs 20 lakh < Rs 25 lakh).","Applicable minimum investment thresholds under Regulation 10(c): (i) General investors: Rs 1 crore; (ii) Employees/directors of the AIF or Manager: Rs 25 lakh; (iii) Accredited investors: exempt (no minimum). Assessment of proposed investments: (a) External institutional investor: proposed Rs 75 lakh vs minimum Rs 1 crore — FAILS (shortfall of Rs 25 lakh). (b) Director of the Manager: proposed Rs 20 lakh vs minimum Rs 25 lakh — FAILS (shortfall of Rs 5 lakh). (c) Employee of the AIF: proposed Rs 30 lakh vs minimum Rs 25 lakh — PASSES. (d) Accredited investor: proposed Rs 50 lakh, fully exempt from minimum — PASSES. Conclusion: The external institutional investor and the director of the Manager fail to meet the minimum investment requirements.",1
3,NUM_095,NUM,"Rs5,500 crore (40% of Adjusted PAT of Rs13,750 crore, which is lower than 75% of PAT of Rs12,750 crore)","From Illustration 1: Adjusted PAT (C) = Rs 17,000 crore minus 50% of Rs 6,500 crore = Rs 13,750 crore. 75% of PAT (E) = Rs 12,750 crore. Maximum payable per Table 1 at Tier 1 ratio of 11.72% (Bucket B4, 40% of Adjusted PAT) (F) = Rs 5,500 crore. Maximum Eligible Dividend = Lower of E or F = Lower of Rs 12,750 crore and Rs 5,500 crore = Rs 5,500 crore.",1
3,NUM_122,NUM,(a) Regular Category II AIF: Original tenure = 5 years + maximum extension = 2 years (subject to 2/3 unit holder approval). Maximum total tenure = 7 years. (b) Accredited Investors only fund: Original tenure = 5 years + maximum extension = 5 years (subject to 2/3 unit holder approval). Maximum total tenure = 10 years. Note: the minimum tenure of 3 years (Reg 13(2)) is only a floor; the actual tenure is as determined at registration.,"Under Regulation 13(2), Category I and II AIFs must have a minimum tenure of 3 years. Under Regulation 13(5), extension of tenure may be permitted for up to 2 years (regular fund) or up to 5 years (Accredited Investors only fund), subject to approval of two-thirds of unit holders by value. (a) Regular Category II AIF with initial 5-year tenure: maximum extension = 2 years; maximum TOTAL tenure = 5 + 2 = 7 years. (b) Accredited Investors only Category II AIF with initial 5-year tenure: maximum extension = 5 years; maximum TOTAL tenure = 5 + 5 = 10 years.",1
3,NUM_097,NUM,"Rs19,000 crore (50% of Adjusted PAT of Rs38,000 crore, which is lower than 75% of PAT of Rs30,375 crore)","From Illustration 2: Adjusted PAT (C) = Rs 40,500 crore minus 50% of Rs 5,000 crore = Rs 38,000 crore. 75% of PAT (E) = Rs 30,375 crore. Maximum payable per Table 1 at Tier 1 ratio of 15% (Bucket B5, 50% of Adjusted PAT) (F) = Rs 19,000 crore. Maximum Eligible Dividend = Lower of E or F = Lower of Rs 30,375 crore and Rs 19,000 crore = Rs 19,000 crore.",1
3,NUM_114,NUM,"The 15-day prohibition window runs from April 1 to April 15 (inclusive). April 16 falls outside the 15-day prohibition window, so the adviser may freely enter the contrary own-account buy transaction on April 16 without the need to invoke the revised-assessment exception. The transaction on April 16 is permissible. (Note: the revised assessment on April 14 was not strictly necessary for transacting on April 16, as the prohibition expired on April 15.)","The 15-day prohibition runs from April 1 (Day 1) through April 15 (Day 15). The revised assessment was issued on April 14 (Day 14), which is within the 15-day window — satisfying the proviso's requirement. Under the proviso, the adviser may enter the contrary transaction at least 24 hours after giving the revised assessment to clients. 24 hours after April 14 = April 15. April 16 is both after the 24-hour notice period AND after the 15-day prohibition window (which ends on April 15). YES, the April 16 transaction is permissible. The adviser has satisfied both conditions: revised assessment given within the 15-day window, and at least 24 hours have elapsed before the transaction.",0
3,NUM_134,NUM,"26 weeks from March 15, 2024 is approximately September 15, 2024. August 20, 2024 falls within this window, so Regulation 8(10) applies. The acquirer must pay Rs 30 per share (Rs 130 minus Rs 100) to all tendering shareholders within 60 days from August 20, 2024, i.e., by approximately October 19, 2024.","YES, Regulation 8(10) applies. The open offer tendering period completed with payment on March 15, 2024. 26 weeks from March 15, 2024 = approximately September 14, 2024. The acquirer's open-market purchase at Rs 130 per share occurred on August 20, 2024, which falls within the 26-week window after the tendering period. Since the acquisition price (Rs 130) exceeds the offer price (Rs 100), the acquirer must pay the difference of Rs 30 per share to all shareholders whose shares were accepted in the open offer. Deadline: within 60 days from August 20, 2024 = by October 19, 2024.",1
3,NUM_038,NUM,"No. Eight lakh rupees out of ninety lakh rupees is approximately 8.9 per cent, which is below the ten per cent threshold; the disqualification criterion is not triggered","The disqualification threshold is 10% or more of the gross turnover of the consulting firm in any of the three financial years immediately preceding the financial year of proposed appointment. Calculation: Transactions with InvIT in FY2023 = Rs 8 lakh; Gross turnover of the firm in FY2023 = Rs 90 lakh. Transaction as a percentage of gross turnover = Rs 8 lakh / Rs 90 lakh = 8.89%. Since 8.89% is LESS THAN 10%, the disqualification threshold is NOT met. Conclusion: The partner of the consulting firm would NOT be disqualified from acting as an independent director of the investment manager for FY2026.",0
3,NUM_129,NUM,"No, the proposed acquisition would not violate Regulation 24A(2). The restriction applies to a shareholder holding 10% or more in one CRA acquiring 10% or more in another CRA. Institution X already holds 12% (≥10%) in CRA-1. However, the proposed acquisition in CRA-2 is only 9%, which is below the 10% threshold. Since the combined holding in CRA-2 (9%) is less than 10%, the restriction under Regulation 24A(2) is not triggered. The acquisition is permissible.","Regulation 24A(2) prohibits a shareholder holding 10% or more in one CRA from also holding 10% or more in any other CRA. Institution X holds 12% in CRA-1 (above the 10% threshold — the restriction is triggered). The proposed acquisition is a 9% stake in CRA-2, which is BELOW the 10% threshold in CRA-2. Since the restriction under Regulation 24A(2) is triggered only when the shareholder holds 10% or more in BOTH CRAs, a 9% holding in CRA-2 does not breach the restriction. Conclusion: The proposed acquisition would NOT violate Regulation 24A(2).",1
3,NUM_117,NUM,"Scheme A (private equity, Category II): minimum Rs 20 crore. Scheme B (social impact fund, Category I): minimum Rs 5 crore. Scheme C (infrastructure fund, Category I): minimum Rs 20 crore. Total minimum corpus = Rs 20 crore + Rs 5 crore + Rs 20 crore = Rs 45 crore.","Under Regulation 10(b): the minimum corpus per scheme is Rs 20 crore, except for a social impact fund scheme, which requires a minimum of Rs 5 crore. Minimum corpus calculation: Scheme A (private equity fund): Rs 20 crore. Scheme B (social impact fund): Rs 5 crore. Scheme C (infrastructure fund): Rs 20 crore. Total minimum corpus = Rs 20 + Rs 5 + Rs 20 = Rs 45 crore.",1
3,NUM_113,NUM,"Cumulative fees: After 8 months = Rs 2.65 crore. After month 9: 2.65 + 0.22 = Rs 2.87 crore (threshold of Rs 3 crore not yet breached). After month 10: 2.87 + 0.18 = Rs 3.05 crore (exceeds Rs 3 crore). The fee threshold is breached at the end of the 10th month, when total fees reach Rs 3.05 crore. Excess above threshold = Rs 3.05 − Rs 3.00 = Rs 0.05 crore.","The fee-based transition threshold is reached when cumulative fees collected during the financial year exceed Rs 3 crore. Running total: After 8 months = Rs 2.65 crore. After Month 9 (Rs 0.22 crore added): cumulative total = Rs 2.87 crore (below threshold). After Month 10 (Rs 0.18 crore added): cumulative total = Rs 3.05 crore (exceeds Rs 3 crore). The fee-based threshold of Rs 3 crore is breached at the end of Month 10, with total fees of Rs 3.05 crore.",1
3,NUM_035,NUM,26 May 2025 (after expiry of the twenty one days notice period from 5 May),"The regulation requires the issuer to give twenty-one days' notice of the proposed roll-over to holders of municipal debt securities. Notice dispatched on 5 May 2025. Counting 21 days from May 5: the 21-day notice period expires on May 25, 2025 (Day 21). The roll-over can take effect at the earliest on May 26, 2025 (the day after the notice period has fully elapsed), assuming all holders provide consent within the notice period.",1
3,NUM_121,NUM,Maximum permitted investment in any single investee company = 25% of investable funds = 25% × Rs 400 crore = Rs 100 crore. The proposed investment of Rs 120 crore exceeds the limit by Rs 20 crore. The investment is not permissible as proposed. The maximum permissible investment in Company X is Rs 100 crore.,"Under Regulation 15(1)(c), Category I and II AIFs shall not invest more than 25% of investable funds in a single investee company. Maximum permissible investment = 25% of Rs 400 crore = Rs 100 crore. Proposed investment of Rs 120 crore exceeds this limit (Rs 120 crore > Rs 100 crore). Conclusion: The proposed investment of Rs 120 crore in Company X is NOT permissible. The maximum permissible amount that can be invested in Company X is Rs 100 crore.",1
3,CON_069,CON,No,"No, the original and 2018-amended versions of Regulation 9(f) do NOT define the same permissible scope of rating activities. The original version restricted CRA activities to 'rating of securities offered by way of public or rights issue' — i.e., only primary market issuances. The 2018-amended version (w.e.f. 11-09-2018) expanded this to 'rating of securities that are listed or proposed to be listed on a stock exchange recognized by the Board', which covers both primary and secondary market listed securities, a materially broader scope. Additionally, the original proviso permitted 'any other activity required by a financial sector regulator' broadly, while the 2018 version restricts other activities to those specifically prescribed or permitted by the Board. The two versions therefore impose meaningfully different scope restrictions on CRA rating activities.",1
3,CON_053,CON,No,"No, Passage A and Passage B do NOT impose the same restriction — they address fundamentally different attributes of debt instruments. Passage A restricts investments in UNRATED debt instruments: capped at 10% of NAV per single issuer and 25% of NAV in aggregate, with prior approval of the Board of Trustees and Board of AMC. Passage B restricts investments in UNLISTED debt instruments: generally prohibited (except Government Securities and money market instruments), with a limited carve-out of up to 10% of the DEBT PORTFOLIO (not NAV) for unlisted NCDs, subject to Board-specified conditions. The restrictions operate along different dimensions (rating status vs. listing status), use different denominators (NAV vs. debt portfolio), and carry different approval mechanisms. They are complementary but not the same restriction.",1
3,CON_073,CON,No,"There is NO contradiction between the main provision and the 2020 proviso of Regulation 3(2). The main provision sets the standard annual creep acquisition limit at 5% of voting rights for acquirers holding 25% or more. The 2020 proviso creates a narrow, one-time exception applicable ONLY for FY 2020-21, allowing acquisition beyond 5% and up to 10% of voting rights, but only in the specific case of a promoter acquiring shares pursuant to a preferential issue by the target company. A proviso supplements the main provision by carving out a defined exception; it does not contradict the general rule. Outside the specific conditions of the proviso (i.e., any year other than 2020-21, or any acquirer other than a promoter in a preferential issue), the 5% annual cap continues to apply in full.",0
3,CON_050,CON,No,"Both passages use a 5% threshold, so the percentage limit is the same. However, the two provisions are NOT identical — they measure the 5% against different bases over different time periods. Passage A measures 5% against the DAILY GROSS BUSINESS of the mutual fund (a daily measurement). Passage B measures 5% against the AGGREGATE PURCHASES AND SALES of securities made by the mutual fund in all its schemes over a BLOCK OF THREE MONTHS (a rolling quarterly measurement). The percentage figure is the same (5%) but the benchmark and the time period over which compliance is assessed differ materially — daily gross business vs. three-month aggregate — making the effective restriction different.",0
3,CON_049,CON,Yes,"Both passages use a 10% shareholding/voting rights threshold, so the threshold is numerically identical. However, the two passages are NOT the same in scope — they apply to different classes of entities. Passage A applies the 10% cross-ownership restriction specifically to a SPONSOR, its ASSOCIATES, and GROUP COMPANIES (including the AMC) of a mutual fund. Passage B applies the 10% restriction to ANY SHAREHOLDER holding 10% or more in the AMC or trustee company of a mutual fund. Passage B is therefore broader in coverage (any shareholder, not just sponsor and its related parties), while Passage A captures the sponsor-group specifically. The two provisions are complementary — applying the same threshold to different categories of persons.",0
