id,task_type,difficulty,source_regulation,context,question,your_answer,notes_if_ambiguous
TMP_008,temporal_reasoning,medium,"SEBI (Alternative Investment Funds) Regulations, 2012","Funds registered as venture capital funds under the Securities and Exchange Board of India (Venture Capital Funds) Regulations, 1996 shall be governed by the said regulations for a period of five years from the commencement of the SEBI (AIF) Regulations, 2012, provided that the existing fund shall not increase the targeted corpus of the fund. Venture capital funds may seek registration under the AIF Regulations as migrated venture capital funds in terms of Chapter III-D, within twelve months of notification of the relevant regulations.","Under SEBI AIF Regulations 2012, how long could funds registered under the earlier SEBI Venture Capital Funds Regulations, 1996 continue to be governed by those older regulations before being required to migrate?",,
TMP_009,temporal_reasoning,medium,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","The SEBI (ICDR) Regulations, 2018 were amended as follows in relation to the draft letter of offer: Prior to 08.03.2025, the draft letter of offer was required to be filed with the Board. By the SEBI (ICDR) (Amendment) Regulations, 2025 w.e.f. 08.03.2025, the requirement was changed such that the draft letter of offer is filed with the stock exchange(s) instead of the Board.","Under SEBI ICDR Regulations, where was the draft letter of offer filed before the 2025 amendment?",,
TMP_010,temporal_reasoning,hard,"SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","The term 'main board' in SEBI LODR Regulations was originally cross-referenced to regulation 106N of the SEBI (ICDR) Regulations, 2009. This cross-reference was substituted by the SEBI (LODR) (Second Amendment) Regulations, 2021 w.e.f. 5.5.2021 to refer instead to regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018.","After May 2021, which regulation number in which SEBI regulations defines the term 'main board' for the purposes of SEBI LODR Regulations 2015?",,
TMP_011,temporal_reasoning,hard,"SEBI (Substantial Acquisition of Shares and Takeovers) Regulations, 2011","The SEBI Takeover Regulations 2011 came into force on the thirtieth day from the date of their publication on 23 September 2011. The phrase 'is required to be made under these regulations' in the definition of 'frequently traded shares' was substituted by the SEBI (Substantial Acquisition of Shares and Takeovers) (Second Amendment) Regulations, 2018, w.e.f. 11-09-2018. Prior to this amendment, the phrase read as 'is made'.","Before September 2018, what phrase was used in the SEBI Takeover Regulations 2011 in the definition of 'frequently traded shares' in place of 'is required to be made under these regulations'?",,
TMP_012,temporal_reasoning,easy,"SEBI (Merchant Bankers) Regulations, 1992","The SEBI (Merchant Bankers) Regulations, 1992 were among the earliest set of SEBI regulations, establishing the regulatory framework for merchant banking in India. The definition of 'principal officer' was amended to require that such person shall have at least five years of experience in merchant banking activities. The definition of 'certificate' was also amended to remove the category classification from the phrase 'certificate of registration', changing it from 'certificate of category registration' to 'certificate of registration'.",The SEBI (Merchant Bankers) Regulations 1992 were enacted under which SEBI Act and year?,,
TMP_013,temporal_reasoning,easy,"SEBI (Mutual Funds) Regulations, 1996 (as amended upto 2026)","The SEBI (Mutual Funds) Regulations were originally notified in 1996. The definition of 'NAV' or 'Net Asset Value' was introduced as a defined term as part of later amendments. The definition of 'exit load' was inserted to mean the charge or fee levied by the mutual fund at the time of redemption or switch. The definition of 'total expense ratio' was also introduced, defined as the ratio of total of all expenses charged to the investors of a scheme to its daily net assets.","Which set of SEBI regulations originally established the regulatory framework for mutual funds in India that continues to govern mutual funds today, as reflected in the 2026 consolidated version?",,
TMP_014,temporal_reasoning,medium,"SEBI (Real Estate Investment Trusts) Regulations, 2014","The term 'sponsor group' was substituted for 'sponsor(s)' by the SEBI (Real Estate Investment Trusts) (Amendment) Regulations, 2016. Prior to this amendment, the relevant provisions referred only to 'sponsors'. The term 'inducted sponsor' was inserted by a subsequent amendment and means any person who has been inducted as a sponsor of the REIT after its initial registration. The term 're-designated sponsor' was further added in a later amendment.",What term was used in SEBI REIT Regulations 2014 before the 2016 amendment replaced it with the broader term 'sponsor group'?,,
TMP_015,temporal_reasoning,easy,"SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018","The SEBI (ICDR) Regulations 2018 superseded the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2009. The 2018 regulations were notified on the 60th day from publication. The definition of 'financial year' was inserted by the SEBI (ICDR) (Amendment) Regulations, 2025 w.e.f. 08.03.2025. Prior to this amendment, the ICDR Regulations 2018 did not contain an explicit definition of 'financial year' as a standalone defined term.",Which was enacted earlier — the SEBI (ICDR) Regulations 2009 or the SEBI (ICDR) Regulations 2018?,,
TMP_016,temporal_reasoning,medium,"SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015","The SEBI LODR Regulations, 2015 were published on 2 September 2015. The provision regarding 'fugitive economic offender' was inserted by the SEBI (LODR) (Sixth Amendment) Regulations, 2018, w.e.f. 16.11.2018, following the enactment of the Fugitive Economic Offenders Act, 2018. Prior to November 2018, the LODR Regulations did not contain any reference to fugitive economic offenders.",In which year was the concept of 'fugitive economic offender' first incorporated into the SEBI LODR Regulations 2015?,,
TMP_017,temporal_reasoning,medium,"SEBI (Alternative Investment Funds) Regulations, 2012","The SEBI (AIF) Regulations, 2012 were the first set of regulations governing the alternative investment fund industry in India in a consolidated manner. The provision permitting social impact funds to issue 'social units' and to raise funds from social investors was inserted by the SEBI (Alternative Investment Funds) (Third Amendment) Regulations, 2022, w.e.f 25.07.2022. Before July 2022, social impact funds could not issue social units under the AIF Regulations.","Under SEBI AIF Regulations, from which date could social impact funds start issuing 'social units' under the AIF regulatory framework?",,
REG_067,regulatory_interpretation,easy,,"The stock exchange, the clearing corporation, the depository or the specified self regulatory organization, as the case may be, shall examine the eligibility of the applicant in terms of these regulations, relevant regulations and the rules, regulations or bye-laws of the concerned stock exchange, clearing corporation, depository or the self regulatory organization and forward the application with the application fees to the Board along with its recommendation as early as possible but not later than thirty days of receipt of the complete application with the specified application fees.",Within how many days must a stock exchange forward a completed registration application to SEBI after receiving it?,,
REG_068,regulatory_interpretation,easy,,Any material change in the information furnished or uploaded under these regulations shall be updated by the intermediary promptly but not later than fifteen days of the occurrence of such change.,"Within how many days must an intermediary update material changes to the information it has furnished or uploaded under SEBI (Intermediaries) Regulations, 2008?",,
REG_069,regulatory_interpretation,easy,,"The intermediary shall make endeavours to redress investor grievances promptly but not later than forty-five days of receipt thereof and when called upon by the Board to do so, shall furnish the details of such complaint and action taken therefor to the Board within the time specified by the Board.","What is the maximum time within which an intermediary must redress investor grievances under SEBI (Intermediaries) Regulations, 2008?",,
REG_070,regulatory_interpretation,easy,,"Where an application is rejected for the reason that it contains false or misleading information, no such opportunity may be given and the applicant shall not make any application for grant of certificate under these regulations or any other regulations for a period of one year from the date of such rejection.",For how long is an applicant barred from making a fresh registration application if their application is rejected for containing false or misleading information?,,
REG_071,regulatory_interpretation,medium,,"A request for prior approval, under clause (a) of sub regulation (1) which is complete in all respects shall be disposed off by the Board within a period of sixty days from the date of receipt of such request and where the decision of the Board has not been communicated to the intermediary within the said period of sixty days, the prior approval shall be deemed to have been granted.","Under SEBI (Intermediaries) Regulations 2008, within how many days must SEBI dispose of a complete prior approval request for change in status or constitution? What is deemed to happen if SEBI fails to communicate its decision within this period?",,
REG_072,regulatory_interpretation,easy,,Each intermediary shall prominently display a photocopy of the certificate at all its offices including branch offices. The intermediary shall also prominently display the name and contact details of the compliance officer to whom complaint may be made in the event of any investor grievance.,"What two things must a SEBI-registered intermediary prominently display at all its offices, including branch offices?",,
REG_073,regulatory_interpretation,medium,,"Subject to compliance with the provisions of the Act, these regulations and the relevant regulations, the certificate granted to an intermediary shall be permanent unless surrendered by the intermediary or suspended or cancelled in accordance with these regulations.",Under what three circumstances can a permanent certificate granted to an intermediary under SEBI (Intermediaries) Regulations 2008 cease to be valid?,,
REG_074,regulatory_interpretation,easy,,"""large value accredited investor"" means an accredited investor who has entered into an agreement with the portfolio manager for a minimum investment amount of ten crore rupees.","What minimum investment amount must an accredited investor commit to a portfolio manager in order to qualify as a 'large value accredited investor' under SEBI (Portfolio Managers) Regulations, 2020?",,
REG_075,regulatory_interpretation,easy,,"The maximum limit of any buy-back shall be twenty-five per cent or less of the aggregate of paid-up capital and free reserves of the company, based on the standalone or consolidated financial statements of the company, whichever sets out a lower amount.","What is the maximum permissible limit for any buy-back as a percentage of the aggregate of paid-up capital and free reserves, and on which financial statements is it based?",,
REG_076,regulatory_interpretation,easy,,"The ratio of the aggregate of secured and unsecured debts owed by the company to the paid-up capital and free reserves after buy-back shall be less than or equal to 2:1, based on the standalone or consolidated financial statements of the company, whichever is lower.","What is the maximum debt-to-capital ratio (secured plus unsecured debts to paid-up capital and free reserves) permitted after a buy-back under SEBI (Buy-Back of Securities) Regulations, 2018?",,
REG_077,regulatory_interpretation,easy,,"A company shall not make any offer of buy-back within a period of one year reckoned from the date of expiry of buyback period of the preceding offer of buy-back, if any.","Under SEBI (Buy-Back of Securities) Regulations 2018, how long must a company wait after the expiry of a preceding buy-back period before making another buy-back offer?",,
REG_078,regulatory_interpretation,medium,,A company may undertake a buy-back of its own shares or other specified securities out of (a) its free reserves; (b) the securities premium account; or (c) the proceeds of the issue of any shares or other specified securities: Provided that no such buy-back shall be made out of the proceeds of an earlier issue of the same kind of shares or same kind of other specified securities.,From which three sources may a company fund a buy-back of its shares under SEBI (Buy-Back of Securities) Regulations 2018? Is there any restriction on using proceeds of an earlier issue?,,
REG_079,regulatory_interpretation,medium,,"No company shall directly or indirectly purchase its own shares or other specified securities: (a) through any subsidiary company including its own subsidiary companies; (b) through any investment company or group of investment companies; or (c) if a default is made by the company in the repayment of deposits...Provided that the buy-back is not prohibited, if the default is remedied and a period of three years has lapsed after such default ceased to subsist.",A company defaulted on repayment of a term loan. The default was remedied. After how long can the company conduct a buy-back?,,
REG_080,regulatory_interpretation,easy,,"""compulsory delisting"" means delisting of equity shares of a company by a recognised stock exchange under Chapter V of these regulations.","How does SEBI (Delisting of Equity Shares) Regulations, 2021 define 'compulsory delisting'?",,
REG_081,regulatory_interpretation,easy,,"""bidding period"" means the period within which shareholders may tender their shares in acceptance of the offer for delisting of equity shares of the company made under these regulations.","What is the 'bidding period' as defined in SEBI (Delisting of Equity Shares) Regulations, 2021?",,
REG_082,regulatory_interpretation,easy,,These regulations shall come into force on the ninetieth day from the date of their publication in the Official Gazette.,"When did the SEBI (Research Analysts) Regulations, 2014 come into force relative to their date of publication?",,
REG_083,regulatory_interpretation,easy,,"""independent research analyst"" means a person whose only business activity is research analysis or preparation and/or publication of research report.","Under SEBI (Research Analysts) Regulations 2014, who qualifies as an 'independent research analyst'?",,
REG_084,regulatory_interpretation,easy,,"These Directions shall be called the Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026. These Directions shall come into effect from Financial Year (FY) 2026-27.","From which financial year do the Reserve Bank of India (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026 come into effect?",,
REG_085,regulatory_interpretation,easy,,These Directions shall be applicable to Small Finance Banks (SFBs) (hereinafter collectively referred to as 'banks' and individually as a 'bank').,"To which category of banks do the RBI (Small Finance Banks - Prudential Norms on Declaration of Dividend) Directions, 2026 apply?",,
REG_086,regulatory_interpretation,easy,,"A bank which satisfies the eligibility criteria laid down in paragraph 7 above may declare and pay dividend up to the limits prescribed under Table 1 below, but in aggregate not exceeding 75% of the PAT for the period for which the dividend is being proposed.","Under the RBI SFB Dividend Directions 2026, what is the maximum aggregate dividend a Small Finance Bank can declare, regardless of its Tier 1 Capital Ratio bucket?",,
REG_087,regulatory_interpretation,medium,,"The Board of Directors while considering the proposal for declaration of dividend of a bank shall consider the following: (1) The divergence in asset classification and provisioning for Non-Performing Assets (NPAs), including its trend, as observed under supervisory findings of the Reserve Bank; (2) Auditors' Report to the financial statements, including modified opinion or Emphasis of Matter, for the financial year in which the dividend is proposed; (3) Current and projected capital position vis-a-vis applicable regulatory capital requirement; and (4) Long term growth plans.",What four factors must the Board of Directors of a Small Finance Bank consider when evaluating a dividend proposal under the RBI SFB Dividend Directions 2026?,,
REG_088,regulatory_interpretation,easy,,A bank declaring dividend shall report details thereof as per the format prescribed in Annex II. The report shall be furnished to the Department of Supervision of the Reserve Bank within a fortnight of declaration of dividend.,"After declaring a dividend, within what time period must a Small Finance Bank submit its dividend report to the Department of Supervision of the Reserve Bank?",,
REG_089,regulatory_interpretation,easy,,"A bank shall meet the following prudential requirements, to be eligible to declare dividends: (4) The bank shall not be under any explicit restrictions for declaration of dividends from the Reserve Bank or any other authority.","Under the RBI SFB Dividend Directions 2026, is a bank eligible to declare dividends if the Reserve Bank has placed an explicit restriction on it?",,
REG_090,regulatory_interpretation,medium,,'Adjusted Profit After Tax (PAT)' means PAT of the financial year for which the dividend is proposed to be paid minus 50 per cent of Net NPA as on March 31 of the financial year for which the dividend is to be paid.,How is 'Adjusted Profit After Tax (PAT)' defined under the RBI SFB Dividend Directions 2026?,,
REG_091,regulatory_interpretation,easy,,"Section A of the Directions on implementation of Legal Entity Identifier (LEI) shall come into force with immediate effect. Section B of the Directions on implementation of Unique Transaction Identifier (UTI) shall come into effect from January 01, 2027.","Under the RBI Master Direction on Unique Identifiers in Financial Markets 2026, when does the section on Unique Transaction Identifier (UTI) implementation come into effect?",,
REG_092,regulatory_interpretation,easy,,Entities without an LEI code shall not be eligible to undertake transactions in the financial markets regulated by the Reserve Bank. Entities shall ensure that their LEI code is considered current under the rules of the global LEI system and has not lapsed.,"Under the RBI Master Direction on Unique Identifiers 2026, are entities without an LEI code permitted to transact in RBI-regulated financial markets?",,
REG_093,regulatory_interpretation,medium,,"For users / clients undertaking non-derivative foreign exchange transactions, the LEI code shall be applicable only for transactions involving an amount equivalent to or exceeding USD one million or equivalent thereof in other currencies.","For non-derivative foreign exchange transactions, at what minimum transaction amount does the LEI requirement become applicable to users and clients under the RBI Master Direction on Unique Identifiers 2026?",,
REG_094,regulatory_interpretation,easy,,"The Stocks will be issued for a minimum amount of Rs. 10,000/- (nominal) and in multiples of Rs. 10,000/- thereafter.","What is the minimum nominal amount for which Government of India dated securities are issued in the auction, and in what multiples are they issued thereafter?",,
NUM_067,numerical_reasoning,easy,,"'Adjusted Profit After Tax (PAT)' means PAT of the financial year for which the dividend is proposed to be paid minus 50 per cent of Net NPA as on March 31 of the financial year for which the dividend is to be paid.

Illustration 1: Net profit (PAT) for FY 20X1-X2 (A): ₹17,000 crore. Net NPAs as on March 31, 20X2 (B): ₹6,500 crore. Adjusted PAT, i.e., (C) = (A) - 50% of (B).","Using the formula for Adjusted PAT, calculate the Adjusted PAT for a Small Finance Bank with PAT of ₹17,000 crore and Net NPA of ₹6,500 crore.",,
NUM_068,numerical_reasoning,medium,,"Table 1: Bucket B4 — Tier 1 Capital Ratio as at the end of previous FY: Above 11.5% and up to 13.5% — Dividend allowed as a % of adjusted PAT: 40.

Illustration 1: Tier 1 Capital ratio as on March 31, 20X1 (D): 11.72%. The CET1 ratio falls in bucket B4. Adjusted PAT: ₹13,750 crore. Max payable as per Table 1 (40% of 13,750) (F): 5,500.","A Small Finance Bank has a Tier 1 Capital Ratio of 11.72% and an Adjusted PAT of ₹13,750 crore. According to Table 1 of the RBI SFB Dividend Directions 2026, what is the maximum dividend allowable under the bucket framework?",,
NUM_069,numerical_reasoning,medium,,"A bank which satisfies the eligibility criteria may declare and pay dividend up to the limits prescribed under Table 1 below, but in aggregate not exceeding 75% of the PAT for the period for which the dividend is being proposed.

Illustration 1: Net profit (PAT) for FY 20X1-X2 (A): ₹17,000 crore. 75% of PAT (E): ₹12,750. Max payable as per Table 1 (F): ₹5,500. Maximum Eligible Dividend (i.e., Lower of E or F): 5,500.","Under RBI SFB Dividend Directions 2026, the Maximum Eligible Dividend is the lower of 75% of PAT or the Table 1 limit. For a bank with PAT of ₹17,000 crore and a Table 1 limit of ₹5,500 crore, what is the Maximum Eligible Dividend?",,
NUM_070,numerical_reasoning,medium,,"Illustration 1: Net profit (PAT) for FY 20X1-X2 (A): ₹17,000 crore. Maximum Eligible Dividend (i.e., Lower of E or F): 5,500. Maximum Eligible Dividend as percentage of PAT: 32.35%.","In Illustration 1 of the RBI SFB Dividend Directions 2026, the Maximum Eligible Dividend is ₹5,500 crore and the PAT is ₹17,000 crore. What is the Maximum Eligible Dividend as a percentage of PAT?",,
NUM_071,numerical_reasoning,medium,,"Illustration 3: Net profit (PAT) for FY 20X1-X2 (A): 1500. Net NPAs as on March 31, 20X2 (B): 300. Adjusted PAT, i.e., (C) = (A) - 50% of (B): 1,350. Tier 1 capital ratio as on March 31, 20X1 (D): 24.36%. The CET1 ratio falls in bucket B10. 75% of PAT (E): 1,125. Maximum payable as per Table (100% of 1,350) (F): 1,350. Maximum Eligible Dividend (i.e., G = Lower of E or F): 1,125. Interim dividend paid for FY 20X1-20X2 (H): 500. As the bank has already paid interim dividend of ₹500 crore, the final dividend shall not be more than (G) - (H).","In Illustration 3, a Small Finance Bank has Maximum Eligible Dividend of ₹1,125 crore and has already paid an interim dividend of ₹500 crore. What is the maximum permissible final dividend?",,
NUM_072,numerical_reasoning,easy,,"Illustration 2: Net profit (PAT) for FY 20X1-X2 (A): 40,500 crore. Net NPAs as on March 31, 20X2 (B): 5,000 crore. Adjusted PAT i.e., (C) = (A) - 50% of (B): 38,000 crore. Tier 1 Capital ratio as on March 31, 20X1 (D): 15%. The CET1 ratio falls in bucket B5.","A Small Finance Bank has a PAT of ₹40,500 crore and Net NPA of ₹5,000 crore. What is its Adjusted PAT as defined in the RBI SFB Dividend Directions 2026?",,
NUM_073,numerical_reasoning,hard,,"Illustration 2: Adjusted PAT i.e., (C): 38,000 crore. Tier 1 Capital ratio (D): 15%. The CET1 ratio falls in bucket B5. 75% of PAT (E): 30,375. Max payable as per Table 1 (50% of 38,000) (F): 19,000. Maximum Eligible Dividend (i.e., Lower of E or F): 19,000. Maximum Eligible Dividend as percentage of PAT: 46.91%.","In Illustration 2, with Adjusted PAT of ₹38,000 crore and Bucket B5 (50% limit), what is the maximum dividend allowed per Table 1, and what is 75% of PAT (₹40,500 crore)?",,
NUM_074,numerical_reasoning,medium,,"Government of India (GoI) has announced the sale (re-issue) of two dated securities for a notified amount of ₹29,000 crore as per the following details:
1. 6.68% GS 2040 Jul 07, 2040 — ₹17,000 crore
2. 7.43% GS 2076 Jan 19, 2076 — ₹12,000 crore
Total: ₹29,000 crore
GoI will have the option to retain additional subscription up to ₹2,000 crore against each security mentioned above.","In the GoI dated securities auction announced on March 28, 2026, what is the maximum total amount the Government of India can raise if it exercises the greenshoe option on both securities?",,
NUM_075,numerical_reasoning,medium,,"Government of India (GoI) has announced the sale (re-issue) of two dated securities:
1. 6.68% GS 2040 — ₹17,000 crore, repayment Jul 07, 2040
2. 7.43% GS 2076 — ₹12,000 crore, repayment Jan 19, 2076
Settlement Date: April 06, 2026","In the GoI dated securities auction announced on March 28, 2026, what is the total notified amount for the 7.43% GS 2076 security, and what fraction of the total auction amount does it represent?",,
NUM_076,numerical_reasoning,easy,,"The following State Governments have offered to sell stock by way of auction, for an aggregate amount of ₹57,408 Crore (Face Value).","What is the total aggregate face value amount offered by all State Governments in the revised State Government securities auction announced on March 21, 2026?",,
NUM_077,numerical_reasoning,easy,,"Andhra Pradesh: 1500 (17 year), 1500 (20 year), 900 (25 year) — all yield-based auctions. Total amount to be raised by Andhra Pradesh: 3900 crore.","How much in total is Andhra Pradesh seeking to raise across all three of its securities in the revised State Government auction of March 21, 2026?",,
NUM_078,numerical_reasoning,easy,,"Karnataka: 2000 (05 year), 2000 (08 year), 2000 (10 year and 06 months), 2000 (11 year and 06 months), 2000 (15 year) — all yield-based.","What is the total amount Karnataka is raising across all its five securities in the revised State Government auction of March 24, 2026?",,
NUM_079,numerical_reasoning,easy,,"Calendar for Issuance of Government of India Dated Securities (April 01, 2026 to September 30, 2026). Total: 8,20,000 crore.","What is the total amount of Government of India dated securities to be issued during the first half of FY 2026-27, i.e., April to September 2026?",,
NUM_080,numerical_reasoning,easy,,"Auction Week 1 (April 01-03, 2026): ₹29,000 crore — (i) 15 Year for ₹17,000 crore (ii) 50 Year for ₹12,000 crore.
Auction Week 2 (April 06-10, 2026): ₹34,000 crore — (i) 10 Year for ₹34,000 crore.","In the GoI securities issuance calendar for H1 FY2026-27, what is the combined amount to be auctioned in the first two auction weeks (April 01-03 and April 06-10, 2026)?",,
NUM_081,numerical_reasoning,easy,,"Auction Week 4 (April 20-24, 2026): ₹32,000 crore — (i) 3 Year for ₹11,000 crore (ii) 7 Year for ₹11,000 crore (iii) 30 Year for ₹5,000 crore (iv) 30 Year SGrB for ₹5,000 crore.","In auction week 4 (April 20-24, 2026) of the GoI issuance calendar, what is the combined amount for the two 30-year instruments (regular and Sovereign Green Bond)?",,
NUM_082,numerical_reasoning,easy,,"Foreign Exchange Reserves as on Mar. 13, 2026: Total Reserves — ₹65,61,849 crore / US$ 709,759 million. Variation over Week: ₹ -13,778 crore / US$ -7,052 million.","As on March 13, 2026, what was India's total foreign exchange reserve in US dollar terms, and by how much did it change during the week?",,
NUM_083,numerical_reasoning,easy,,"Scheduled Commercial Banks — Aggregate Deposits as on Feb. 28, 2026: Outstanding: ₹25,190,181 crore. Year-on-Year growth: 2026 — 11.9%.","What was the year-on-year growth rate of aggregate deposits of Scheduled Commercial Banks in India as of February 28, 2026?",,
NUM_084,numerical_reasoning,medium,,"M3: Outstanding as on Feb 28, 2026: ₹30,298,040 crore. Variation over Financial Year 2025-26 so far: Amount ₹30,11,451 crore / 11.0%. Year-on-Year 2026: Amount ₹31,30,192 crore / 11.5%.","As of February 28, 2026, what was the year-on-year growth rate of M3 (broad money supply)?",,
NUM_085,numerical_reasoning,medium,,"Foreign Exchange Reserves: Gold — As on Mar. 13, 2026: ₹12,08,169 crore / US$ 130,681 million. Variation over Year: ₹5,60,895 crore / US$ 56,289 million.","What was the value of India's gold reserves as on March 13, 2026 in US dollar terms, and what was the increase over the year?",,
NUM_086,numerical_reasoning,hard,,The maximum limit of any buy-back shall be twenty-five per cent or less of the aggregate of paid-up capital and free reserves of the company. The ratio of the aggregate of secured and unsecured debts owed by the company to the paid-up capital and free reserves after buy-back shall be less than or equal to 2:1.,"A company has paid-up capital and free reserves of ₹500 crore before a buy-back. What is the maximum amount it can buy back, and what is the maximum total debt it can carry after the buy-back?",,
CON_028,contradiction_detection,easy,,"[PASSAGE A]
Press Release dated March 20, 2026: The following State Governments have offered to sell stock by way of auction, for an aggregate amount of ₹55,688 Crore (Face Value).

[PASSAGE B]
Press Release dated March 21, 2026: The following State Governments have offered to sell stock by way of auction, for an aggregate amount of ₹57,408 Crore (Face Value).","Do the two press releases state the same aggregate amount for the State Government securities auction to be held on March 24, 2026?",,
CON_029,contradiction_detection,easy,,"[PASSAGE A]
Bucket B1: Tier 1 Capital Ratio as at the end of previous FY: Up to 7.5% — Dividend allowed as a % of adjusted PAT for the period: 0.

[PASSAGE B]
Bucket B10: Tier 1 Capital Ratio as at the end of previous FY: Above 19.5% — Dividend allowed as a % of adjusted PAT for the period: 100.",Do Bucket B1 and Bucket B10 permit the same dividend payout as a percentage of Adjusted PAT under the RBI SFB Dividend Directions 2026?,,
CON_030,contradiction_detection,easy,,"[PASSAGE A]
Section A of the Directions on implementation of Legal Entity Identifier (LEI) shall come into force with immediate effect.

[PASSAGE B]
Section B of the Directions on implementation of Unique Transaction Identifier (UTI) shall come into effect from January 01, 2027.",Do Section A and Section B of the RBI Master Direction on Unique Identifiers in Financial Markets 2026 both come into force on the same date?,,
CON_031,contradiction_detection,medium,,"[PASSAGE A]
The maximum limit of any buy-back shall be twenty-five per cent or less of the aggregate of paid-up capital and free reserves of the company.

[PASSAGE B]
buy-back from the open market through stock exchanges...shall be less than fifteen per cent of the paid up capital and free reserves of the company till March 31, 2023.",Do the two passages prescribe the same maximum limit for all buy-back transactions under SEBI Buy-Back of Securities Regulations?,,
CON_032,contradiction_detection,medium,,"[PASSAGE A]
The bank shall not be under any explicit restrictions for declaration of dividends from the Reserve Bank or any other authority.

[PASSAGE B]
The Reserve Bank reserves the right to place restrictions on distribution of dividend where a bank is found to be non-compliant with the applicable laws, regulations / guidelines issued by the Reserve Bank.",Are the two passages contradictory regarding RBI's authority over Small Finance Bank dividend declarations?,,
CON_033,contradiction_detection,medium,,"[PASSAGE A]
Subject to compliance with the provisions of the Act, these regulations and the relevant regulations, the certificate granted to an intermediary shall be permanent unless surrendered by the intermediary or suspended or cancelled in accordance with these regulations.

[PASSAGE B]
Where the certificate was granted for a specified period, an application for grant of certificate under sub-regulation (1) shall be made by the intermediary at least three months prior to the expiry of such period.",Do both passages describe intermediaries who hold permanent certificates under SEBI (Intermediaries) Regulations 2008?,,
CON_034,contradiction_detection,medium,,"[PASSAGE A]
The auction will be conducted using multiple price method.

[PASSAGE B]
For uniform price-based auction, bids will get accepted at the cut off yield/price accepted in the auction.","Does the GoI dated securities auction announced on March 28, 2026 use a uniform price method where all successful bidders receive securities at the same cut-off price?",,
CON_035,contradiction_detection,easy,,"[PASSAGE A]
As hitherto, all the auctions covered by the calendar will have the facility of non-competitive bidding under which five per cent of the notified amount will be reserved for the specified retail investors.

[PASSAGE B]
Government Stock up to 5% of the notified amount for sale of individual security will be allotted to the eligible individuals and institutions under the Scheme for Non-competitive Bidding Facility in the Auctions of Government Securities.",Do both passages state the same percentage of the notified amount reserved for non-competitive bidding in Government Securities auctions?,,
CON_036,contradiction_detection,medium,,"[PASSAGE A]
Any exceptional and / or extra-ordinary profits / income shall not be available for payment of dividend.

[PASSAGE B]
A bank shall not pay dividend out of net unrealised gains arising on fair valuation of Level 3 financial instruments (including derivatives).",Do both passages identify different categories of profits ineligible for dividend payment under RBI SFB Dividend Directions 2026?,,
CON_037,contradiction_detection,medium,,"[PASSAGE A]
""delisting"" means permanent removal of equity shares of the company from the trading platform of a recognised stock exchange, either by way of voluntary or compulsory method.

[PASSAGE B]
A company shall not buy-back its shares or other specified securities so as to delist its shares or other specified securities from the stock exchange.",Do the two passages together suggest that a company can use buy-back as a mechanism to achieve delisting of its shares?,,
CON_038,contradiction_detection,medium,,"[PASSAGE A]
Notwithstanding such repeal, any action taken or purported to have been taken, or initiated under the repealed Directions, instructions, or guidelines shall continue to be governed by the provisions thereof.

[PASSAGE B]
These Directions shall come into effect from Financial Year (FY) 2026-27.",Does the repeal of the 2025 SFB Dividend Directions mean that all actions previously taken under them become immediately invalid from the date the 2026 Directions are issued?,,
CON_039,contradiction_detection,medium,,"[PASSAGE A]
Revised Press Release (March 21, 2026) — Uttarakhand: 1000 (09 year), 1000 (20 year), 1500 (18 year). Total Uttarakhand (revised): 3500 crore.

[PASSAGE B]
Original Press Release (March 20, 2026) — Uttarakhand: 1000 (09 year), 1000 (20 year), 1280 (18 year). Total Uttarakhand (original): 3280 crore.","Do the original and revised press releases state the same borrowing amount for Uttarakhand's 18-year tenor securities in the March 24, 2026 auction?",,
CON_040,contradiction_detection,hard,,"[PASSAGE A]
Entities without an LEI code shall not be eligible to undertake transactions in the financial markets regulated by the Reserve Bank.

[PASSAGE B]
Non-residents that are not legal entities in their country of incorporation (e.g., funds operated by a non-resident parent / management company that are each registered as a Foreign Portfolio Investor) may use the LEI code of the parent / management company.",Does Passage B create an exception to the general rule in Passage A that every entity must have its own LEI code to transact in RBI-regulated financial markets?,,
CON_041,contradiction_detection,hard,,"[PASSAGE A]
The provisions of Chapters V and VI of these regulations shall come into force on the date of publication of these regulations in the Official Gazette.

[PASSAGE B]
These regulations may be called the Securities and Exchange Board of India (Intermediaries) Regulations, 2008. They shall come into force in relation to different classes of intermediaries on such dates as the Board may by notification in the Official Gazette appoint.",Do Chapters V and VI of the SEBI (Intermediaries) Regulations 2008 come into force on the same date as all other chapters of the Regulations?,,
