model,item_id,task_type,strict_correct,gemini_verdict,phi4_verdict,question,reference_answer,model_prediction,prediction_truncated,sample_group,stratum,human_verdict_CORRECT_or_INCORRECT,human_notes
Llama 4 Scout 17B,NUM_135,numerical_reasoning,0,1,0,"An acquirer's total consideration payable under an open offer is Rs 600 crore. Under Regulation 17(1), the required escrow is Rs 235 crore. The acquirer intends to fund the entire escrow via bank guarantee. What minimum cash amount must they additionally deposit with a scheduled commercial bank?",At least 1% of total consideration payable = 1% of Rs 600 crore = Rs 6 crore must be deposited in cash.,"1% of Rs 600 crore = 0.01 * 600 = Rs 6 crore.

The acquirer cannot fund the entire escrow via bank guarantee. They must deposit at least Rs 6 crore in cash.

The final escrow amount required is Rs 235 crore. 

The acquirer needs to deposit Rs 235 crore - (Rs 235 crore - Rs 6 crore) = Rs 6 crore in c",FALSE,disagreement,NUM_disagreement,CORRECT,
Kimi K2,REG_008,regulatory_interpretation,0,0,1,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",More than five per cent of the voting rights,5%,FALSE,disagreement,REG_disagreement,INCORRECT,"Wrong threshold wording: the reference answer is 'more than five per cent,' not exactly 5%."
Kimi K2,REG_023,regulatory_interpretation,0,0,1,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",Five per cent of the paid-up equity share capital,15%,FALSE,disagreement,REG_disagreement,INCORRECT,"Wrong shareholding limit: the reference is 5%, not 15%."
Kimi K2,NUM_010,numerical_reasoning,0,0,1,"Under SEBI LODR Regulations 2015, if a listed entity holds its first board meeting on 1 April of a financial year, by what latest date must the second board meeting be held?",By 29 July of the same year (1 April + 120 days = 29 July),"Calculation:  
1 April + 120 days = 30 July (April 30 days, May 31 days, June 30 days, July 29 days).

30 July",FALSE,disagreement,NUM_disagreement,INCORRECT,"Wrong date: 120 days from April 1 gives July 29 under the stated convention, not July 30."
Kimi K2,TMP_009,temporal_reasoning,0,0,1,"Under SEBI ICDR Regulations, where was the draft letter of offer filed before the 2025 amendment?",With the Board (SEBI),"Before 08.03.2025, it was filed with the Board.",FALSE,disagreement,TMP_disagreement,CORRECT,
Kimi K2,NUM_075,numerical_reasoning,0,1,0,"In the GoI dated securities auction announced on March 28, 2026, what is the total notified amount for the 7.43% GS 2076 security, and what fraction of the total auction amount does it represent?","₹12,000 crore. It represents approximately 41.4% of the total notified amount (₹12,000 ÷ ₹29,000 × 100 ≈ 41.4%).","Notified amount for 7.43% GS 2076: ₹12,000 crore  
Total auction amount: ₹17,000 cr + ₹12,000 cr = ₹29,000 cr  
Fraction: 12,000 / 29,000 = 12/29",FALSE,disagreement,NUM_disagreement,CORRECT,
Kimi K2,NUM_078,numerical_reasoning,0,0,1,"What is the total amount Karnataka is raising across all its five securities in the revised State Government auction of March 24, 2026?","₹10,000 crore. Calculation: ₹2,000 × 5 securities = ₹10,000 crore.","2,000 crore",FALSE,disagreement,NUM_disagreement,INCORRECT,"Wrong total: Rs 2,000 crore is per security; across five securities the total is Rs 10,000 crore."
Kimi K2,NUM_097,numerical_reasoning,0,0,1,"In Illustration 2 of the RBI SFB Dividend Directions, 2026, a bank has PAT of Rs40,500 crore, Net NPA of Rs5,000 crore, and Tier 1 ratio of 15%. What is the maximum eligible dividend?","Rs19,000 crore (50% of Adjusted PAT of Rs38,000 crore, which is lower than 75% of PAT of Rs30,375 crore)","Step 1: Adjusted PAT = PAT – 50 % of Net NPA  
= Rs 40,500 cr – 0.5 × Rs 5,000 cr  
= Rs 40,500 cr – Rs 2,500 cr  
= Rs 38,000 cr  

Step 2: 75 % of PAT = 0.75 × Rs 40,500 cr = Rs 30,375 cr  

Step 3: Table-1 cap for Tier 1 ratio 15 % (Bucket B5) = 50 % of Adjusted PAT  
= 0.5 × Rs 38,000 cr = Rs 19",FALSE,disagreement,NUM_disagreement,INCORRECT,"Incomplete: the calculation stops before stating the maximum eligible dividend of Rs 19,000 crore."
Kimi K2,NUM_114,numerical_reasoning,0,0,1,"An investment adviser gave clients a sell recommendation on Bond X on April 1. On April 14, the adviser issues a revised assessment to clients. On April 16, the adviser wants to buy Bond X for its own account (contrary to the original sell recommendation). Is the April 16 transaction permissible?","The 15-day prohibition window runs from April 1 to April 15 (inclusive). April 16 falls outside the 15-day prohibition window, so the adviser may freely enter the contrary own-account buy transaction on April 16 without the need to invoke the revised-assessment exception. The transaction on April 16 is permissible. (Note: the revised assessment on April 14 was not strictly necessary for transacting on April 16, as the prohibition expired on April 15.)","**Calculation:**  
- The original advice to sell was given on April 1.  
- The 15-day restriction period under Regulation 15(7) ends on April 16.  
- The revised assessment was sent on April 14, giving clients at least 24 hours’ notice before the proposed April 16 transaction.  
- Therefore, the Apr",FALSE,disagreement,NUM_disagreement,INCORRECT,Wrong date logic: the reference says the 15-day window ends April 15; April 16 is outside it.
Kimi K2,TMP_059,temporal_reasoning,0,1,0,"How did the minimum qualification requirement for individual investment advisers under SEBI IA Regulations change with the 2020 amendment, and what further modification was made in 2025?","Under the original 2013 regulations, Regulation 7(1)(a) required a professional qualification or PG degree/diploma of minimum two years duration specifically in finance, accountancy, business management, commerce, economics, capital markets, banking, insurance, or actuarial science — or a CFA Charter. The SEBI (Investment Advisers) (Amendment) Regulations, 2020 (w.e.f. 30-09-2020) broadened this by permitting any professional qualification or graduate/post-graduate degree or diploma with no restriction on field of study, alongside NISM certification. The SEBI (Investment Advisers) (Second Amendment) Regulations, 2025 (w.e.f. 25-11-2025) further updated Regulation 7(1)(a) to require only a graduate degree (any discipline) or CFA Charter plus relevant NISM certification — removing the old requirement for a finance-specific discipline or work experience.","- 30-9-2020: Replaced the pre-2020 list (degree/diploma of ≥2 years, NISM 1-year PGP, CFA Charter) with requirement of a graduate degree (or equivalent) plus NISM certification; CFA Charter alone still suffices.
- 25-11-2025: Same graduate requirement retained but now allows certification from NISM ",FALSE,disagreement,TMP_disagreement,INCORRECT,Incomplete/incorrect: it does not accurately state the 2025 modification and omits the full current qualification rule.
Kimi K2,NUM_132,numerical_reasoning,0,0,1,An acquirer holds 28% voting rights in a listed company with 10 crore total shares outstanding. What is the maximum number of additional shares they can acquire in financial year 2024-25 without triggering a mandatory open offer under Regulation 3(2)?,5% of 10 crore = 50 lakh shares.,"10,00,00,000 shares × 5% = 1,00,00,000 shares

1,00,00,000 shares",FALSE,disagreement,NUM_disagreement,INCORRECT,"Wrong calculation: 5% of 10 crore shares is 50 lakh shares, not 1 crore."
Kimi K2,TMP_084,temporal_reasoning,0,0,1,How did the SEBI Takeovers Regulations provisions on combined open offer and delisting evolve from 2013 to 2021?,"In 2013, a basic Regulation 5A was inserted allowing an acquirer making an open offer to also delist under the Delisting Regulations, 2009, with specific disclosure conditions. In December 2021, the Third Amendment Regulations substituted the old Regulation 5A with a comprehensive new framework referencing the updated Delisting Regulations, 2021. The new Regulation 5A introduced: (a) detailed conditions for acquirer eligibility; (b) a two-payment structure (indicative price if delisting threshold met, open offer price if not); (c) a two-attempt delisting structure; and (d) updated timelines for withdrawal announcements.","- 2013: SEBI (Listing of Specified Securities on IT Platform) Regulations inserted Regulation 5A – “The acquirer may delist the company in accordance with the SEBI (Delisting of Equity Shares) Regulations, 2009.”  
- 6-12-2021: SEBI (SAST) (Third Amendment) Regulations, 2021 substituted that Regulat",FALSE,disagreement,TMP_disagreement,INCORRECT,Incomplete and partly wrong: it misidentifies the 2013 regulation source and stops before describing the 2021 framework.
LLaMA-3-8B,REG_008,regulatory_interpretation,0,0,1,"Under SEBI Takeover Regulations 2011, an acquirer holding 25% or more in a target company may acquire up to what percentage of additional voting rights in a financial year without triggering an open offer obligation?",More than five per cent of the voting rights,5%,FALSE,disagreement,REG_disagreement,INCORRECT,"Wrong threshold wording: the reference answer is 'more than five per cent,' not exactly 5%."
LLaMA-3-8B,REG_023,regulatory_interpretation,0,0,1,"Under SEBI Stock Exchanges and Clearing Corporations Regulations 2018, what is the maximum shareholding percentage a single entity can hold in a recognised stock exchange without prior written approval of the Board?",Five per cent of the paid-up equity share capital,15%,FALSE,disagreement,REG_disagreement,INCORRECT,"Wrong shareholding limit: the reference is 5%, not 15%."
LLaMA-3-8B,REG_024,regulatory_interpretation,0,0,1,"Under SEBI Credit Rating Agencies Regulations 1999, above what percentage shareholding in an issuer does a credit rating agency become prohibited from rating that issuer's securities?",More than ten per cent of the paid-up share capital,Ten per cent.,FALSE,disagreement,REG_disagreement,INCORRECT,"Wrong threshold: the restriction applies above 10%, not at exactly 10%."
LLaMA-3-8B,NUM_005,numerical_reasoning,0,0,1,"If a mutual fund scheme with net assets of 500 crore rupees borrows the maximum permissible amount for the maximum permissible duration, what is the interest liability at the penalty rate of 15% per annum for the maximum 6-month borrowing period?",7.5 crore rupees (20% of 500 = 100 crore borrowed; 15% per annum for 6 months = 7.5% of 100 = 7.5 crore),"20% of 500 crore = 0.2 x 500,000,000 = 100,000,000
Interest liability = Principal x Rate x Time
= 100,000,000 x 15/100 x 6/12
= 7,500,000",FALSE,disagreement,NUM_disagreement,INCORRECT,"[Corrected 2026-09-02: prediction has a 10x unit-conversion error (writes 500 crore as 500,000,000, should be 5,000,000,000); final stated answer is 0.75 crore, not the correct 7.5 crore.]"
LLaMA-3-8B,TMP_002,temporal_reasoning,0,0,1,Which lock-in regime for minimum promoters' contribution applied before 13 August 2021 — three years or eighteen months?,"Three years from the date of commencement of commercial production or date of allotment, whichever is later",Three years.,FALSE,disagreement,TMP_disagreement,CORRECT,
LLaMA-3-8B,REG_070,regulatory_interpretation,0,0,1,For how long is an applicant barred from making a fresh registration application if their application is rejected for containing false or misleading information?,One year from the date of rejection,One year.,FALSE,disagreement,REG_disagreement,CORRECT,
LLaMA-3-8B,REG_077,regulatory_interpretation,0,0,1,"Under SEBI (Buy-Back of Securities) Regulations 2018, how long must a company wait after the expiry of a preceding buy-back period before making another buy-back offer?",One year from the date of expiry of the buyback period of the preceding offer.,One year.,FALSE,disagreement,REG_disagreement,CORRECT,
LLaMA-3-8B,REG_082,regulatory_interpretation,0,0,1,"When did the SEBI (Research Analysts) Regulations, 2014 come into force relative to their date of publication?",On the ninetieth day from the date of publication in the Official Gazette.,Ninety days.,FALSE,disagreement,REG_disagreement,CORRECT,
LLaMA-3-8B,NUM_069,numerical_reasoning,0,1,0,"Under RBI SFB Dividend Directions 2026, the Maximum Eligible Dividend is the lower of 75% of PAT or the Table 1 limit. For a bank with PAT of ₹17,000 crore and a Table 1 limit of ₹5,500 crore, what is the Maximum Eligible Dividend?","₹5,500 crore. This is the lower of 75% of PAT (₹12,750 crore) and the Table 1 limit (₹5,500 crore).","E = 0.75 × 17,000 = 12,750
F = 5,500
Maximum Eligible Dividend (MED) = Lower of E or F = 5,500",FALSE,disagreement,NUM_disagreement,CORRECT,
LLaMA-3-8B,NUM_074,numerical_reasoning,0,1,0,"In the GoI dated securities auction announced on March 28, 2026, what is the maximum total amount the Government of India can raise if it exercises the greenshoe option on both securities?","₹33,000 crore. Calculation: Notified amount ₹29,000 crore + greenshoe of ₹2,000 crore per security × 2 securities = ₹29,000 + ₹4,000 = ₹33,000 crore.","17,000 + 2,000 = 19,000 (for 6.68% GS 2040 Jul 07, 2040)
12,000 + 2,000 = 14,000 (for 7.43% GS 2076 Jan 19, 2076)
Total: 19,000 + 14,000 = ₹33,000 crore",FALSE,disagreement,NUM_disagreement,CORRECT,
LLaMA-3-8B,NUM_085,numerical_reasoning,0,0,1,"What was the value of India's gold reserves as on March 13, 2026 in US dollar terms, and what was the increase over the year?","Gold reserves as on March 13, 2026: US$ 130,681 million. Increase over the year: US$ 56,289 million.","₹12,08,169 crore / US$ 130,681 million = ₹1 (since both are in millions)

Increase over the year: ₹5,60,895 crore / US$ 56,289 million = ₹1 (since both are in millions)",FALSE,disagreement,NUM_disagreement,INCORRECT,"Wrong units/calculation: the reference amounts are US$130,681 million and US$56,289 million."
LLaMA-3-8B,NUM_086,numerical_reasoning,0,0,1,"A company has paid-up capital and free reserves of ₹500 crore before a buy-back. What is the maximum amount it can buy back, and what is the maximum total debt it can carry after the buy-back?",Maximum buy-back amount: ₹125 crore (25% × ₹500 crore). Maximum debt after buy-back: ₹750 crore assuming free reserves after buyback are ₹375 crore (2:1 ratio applied to remaining capital of ₹375 crore = ₹750 crore debt).,"Maximum buy-back: 25% × ₹500 crore = ₹125 crore
Maximum total debt: 2:1 ratio means total debt should be ≤ 2 × ₹500 crore = ₹1000 crore. Since paid-up capital and free reserves are ₹500 crore, maximum",TRUE,disagreement,NUM_disagreement,INCORRECT,"Wrong debt calculation: after a 25% buy-back the relevant remaining amount is Rs 375 crore, giving maximum debt of Rs 750 crore, not Rs 1,000 crore."
LLaMA-3-8B,TMP_030,temporal_reasoning,0,0,1,"How many years elapsed between the issuance of the first LEI circular (June 01, 2017) and its supersession by the Master Direction on Unique Identifiers (March 27, 2026)?","Approximately 8 years and 10 months elapsed between June 1, 2017 and March 27, 2026.",9 years.,FALSE,disagreement,TMP_disagreement,CORRECT,
LLaMA-3-8B,TMP_031,temporal_reasoning,0,0,1,"Describe the step-by-step reduction in the maximum open-market buy-back limit through stock exchanges under SEBI Regulations, from 2023 to the final prohibition.","15% (until March 31, 2023) → 10% (until March 31, 2024) → 5% (until March 31, 2025) → Complete prohibition from April 1, 2025.","(i) 15% of paid up capital and free reserves till March 31, 2023; (ii) 10% of paid up capital and free reserves till March 31, 2024; (iii) 5% of paid up capital and free reserves till March 31, 2025.",FALSE,disagreement,TMP_disagreement,INCORRECT,"Incomplete: omits the final complete prohibition from April 1, 2025."
LLaMA-3-8B,REG_060,regulatory_interpretation,0,0,1,"Under SEBI (InvIT) Regulations 2014, what is the combined monetary cap on permissible pecuniary relationships with the InvIT for a person to qualify as an independent director of the investment manager?","Two per cent of its gross turnover or total income, or fifty lakh rupees, whichever is lower","Fifty lakh rupees or such higher amount as may be specified from time to time, whichever is lower.",FALSE,disagreement,REG_disagreement,INCORRECT,Incomplete: omits the 2% of gross turnover/total income cap and therefore gives the wrong combined cap.
LLaMA-3-8B,NUM_037,numerical_reasoning,0,1,0,"Under SEBI (FPI) Regulations 2019, if a government-linked entity is 70% directly owned by a sovereign government, does it qualify as a Category I foreign portfolio investor on the basis of government ownership?",No. The minimum threshold for government ownership is at least seventy-five per cent; seventy per cent is below this threshold,"75% - 5% = 70%

No, it does not qualify.",FALSE,disagreement,NUM_disagreement,CORRECT,
LLaMA-3-8B,NUM_039,numerical_reasoning,0,0,1,"Under SEBI (FPI) Regulations 2019, if a designated depository participant application is received by SEBI on 1 March, additional information is called for on 10 March, and the applicant furnishes the information on 25 March, by what date must SEBI dispose of the application?","By 24 April (thirty days from 25 March, the date all required information was furnished, being the later of the two trigger dates)","30 days after receipt of application = 31 March
Later of two dates: 30 days after receipt of additional information (10 March) = 9 April
Whichever is later: 9 April
Final Answer: 9 April",FALSE,disagreement,NUM_disagreement,INCORRECT,"Wrong date: the later trigger is March 25, so 30 days later is April 24, not April 9."
LLaMA-3-8B,NUM_096,numerical_reasoning,0,0,1,"In Illustration 3, a bank has PAT of Rs1,500 crore, Net NPA of Rs300 crore, Tier 1 ratio of 24.36%, and has already paid interim dividend of Rs500 crore. What is the maximum final dividend it may pay?","Rs625 crore (maximum eligible dividend of Rs1,125 crore minus interim dividend already paid of Rs500 crore)","G = Lower of E or F
E = 75% of PAT = 0.75 x 1,500 crore = 1,125 crore
F = Maximum payable as per Table (100% of 1,350) = 1,350 crore
G = Lower of E or F = 1,125 crore

Final dividend shall not be more",TRUE,disagreement,NUM_disagreement,INCORRECT,"Incomplete: gives Rs 1,125 crore as maximum eligible dividend but omits the Rs 500 crore interim dividend subtraction; final dividend is Rs 625 crore."
LLaMA-3-8B,NUM_103,numerical_reasoning,0,1,0,All schemes of a mutual fund together hold 9.5% of ABC Limited's paid-up capital carrying voting rights. May they acquire a further 1%?,"No. The combined holding would reach 10.5%, exceeding the 10 per cent cap on ownership of any company's paid up capital carrying voting rights.","10% - 9.5% = 0.5%

They can acquire up to 0.5% more.

Answer: 0.5%",FALSE,disagreement,NUM_disagreement,INCORRECT,"Wrong application: from 9.5%, only 0.5% could be added; the proposed 1% would take the holding to 10.5%, so it is not allowed."
LLaMA-3-8B,NUM_105,numerical_reasoning,0,0,1,"A mutual fund scheme (non-index, non-ETF) has NAV of Rs800 crore. What is the maximum investment it may make in equity shares of any single entity?",Rs80 crore (10% of Rs800 crore NAV),Rs 8 crore,FALSE,disagreement,NUM_disagreement,INCORRECT,"Wrong amount: 10% of Rs 800 crore is Rs 80 crore, not Rs 8 crore."
LLaMA-3-8B,REG_134,regulatory_interpretation,0,0,1,"A person based in India provides investment advice exclusively to foreign clients. Does this person need to register as an investment adviser under SEBI IA Regulations, 2013? Would the answer differ if some of those foreign clients are Non-Resident Indians?","A person providing investment advice exclusively to clients based outside India is exempt from registration under Regulation 4(i). However, if any of the overseas clients are Non-Resident Indians (NRIs) or Persons of Indian Origin (PIOs), the exemption does not apply to advice given to those persons — they fall within the purview of these regulations, meaning the adviser must be registered with SEBI to advise NRIs/PIOs.","Yes, the person needs to register as an investment adviser under SEBI IA Regulations, 2013. The answer does not change even if some of the foreign clients are Non-Resident Indians.",FALSE,disagreement,REG_disagreement,INCORRECT,Wrong conclusion: advice solely to non-NRI/PIO foreign clients is exempt; NRI/PIO clients require registration.
LLaMA-3-8B,REG_141,regulatory_interpretation,0,0,1,"Under SEBI IA Regulations, 2013, if an investment adviser advised clients to buy a stock on a certain date but subsequently believes the situation has changed within 10 days, can the adviser immediately sell the same stock from its own account?","No, not immediately. Under Regulation 15(7), an investment adviser is prohibited from entering transactions on its own account contrary to client advice for 15 days from the day of advice. Even if the situation has changed within those 15 days, the adviser cannot act immediately — it must first give a revised assessment to clients at least 24 hours in advance before entering the contrary own-account transaction. So the adviser must provide the revised assessment and then wait at least 24 hours before selling from its own account.",No.,FALSE,disagreement,REG_disagreement,CORRECT,
LLaMA-3-8B,NUM_117,numerical_reasoning,0,1,0,"An AIF Manager is planning to launch three schemes: Scheme A (private equity fund), Scheme B (social impact fund), and Scheme C (infrastructure fund). What is the minimum total corpus that must be raised across all three schemes to comply with SEBI AIF Regulations, 2012?","Scheme A (private equity, Category II): minimum Rs 20 crore. Scheme B (social impact fund, Category I): minimum Rs 5 crore. Scheme C (infrastructure fund, Category I): minimum Rs 20 crore. Total minimum corpus = Rs 20 crore + Rs 5 crore + Rs 20 crore = Rs 45 crore.","20 crore + 5 crore = 25 crore

For Schemes A and C (both private funds), the minimum corpus is 20 crore each.

Total minimum corpus required: 20 crore + 20 crore + 5 crore = 45 crore",FALSE,disagreement,NUM_disagreement,CORRECT,
LLaMA-3-8B,REG_178,regulatory_interpretation,0,0,1,"Within what time period must a credit rating agency rectify deficiencies identified in the auditor's report under SEBI (CRA) Regulations, 1999?","Under Regulation 22, a credit rating agency must take steps to rectify any deficiencies identified in the auditor's report (insofar as they relate to the rating of securities activity) within two months from the date of the auditor's report.",Two months.,FALSE,disagreement,REG_disagreement,CORRECT,
LLaMA-3-8B,NUM_124,numerical_reasoning,0,0,1,"A foreign credit rating agency was incorporated in its home country in January 2018 and began actively rating securities in its home jurisdiction from July 2019. It applies to promote a new CRA in India in December 2025. Does it meet the 'minimum of five years' experience in rating securities' requirement under SEBI (CRA) Regulations, 1999?","The foreign CRA began rating securities from July 2019. By December 2025, it has had 6 years and 5 months of rating experience (July 2019 to December 2025). This exceeds the minimum five-year experience requirement. Yes, the foreign CRA meets the five-year experience requirement.","January 2018 to July 2019 is approximately 1 year.
July 2019 to December 2025 is approximately 6 years.

Total experience = 1 + 6 = 7 years.

Answer: 7 years.",FALSE,disagreement,NUM_disagreement,INCORRECT,"Wrong experience calculation: rating activity began in July 2019, so by December 2025 it is about 6 years 5 months, not 7 years."
LLaMA-3-8B,NUM_125,numerical_reasoning,0,0,1,"An auditor submits a report to a CRA on October 3, 2025, identifying deficiencies in its rating activities. What is the deadline by which the CRA must take steps to rectify these deficiencies under SEBI (CRA) Regulations, 1999?","The CRA must take steps to rectify the deficiencies within two months from the date of the auditor's report. Date of report: October 3, 2025. Adding two months: December 3, 2025. The deadline for rectification is December 3, 2025.","November 2, 2025",FALSE,disagreement,NUM_disagreement,INCORRECT,"Wrong date: two months after October 3, 2025 is December 3, 2025, not November 2."
LLaMA-3-8B,NUM_130,numerical_reasoning,0,1,0,A body corporate files an application to promote a credit rating agency in December 2025. Its audited net worth for the preceding years was: 2020-21: Rs 95 crore; 2021-22: Rs 102 crore; 2022-23: Rs 110 crore; 2023-24: Rs 108 crore; 2024-25: Rs 115 crore. Does it meet the Regulation 4(e) promoter eligibility criterion?,"The requirement under Regulation 4(e) is a continuous net worth of at least Rs 100 crore per audited annual accounts for the previous five years. The five years preceding December 2025 would be FY 2020-21 through FY 2024-25. Net worth history: FY 2020-21: Rs 95 crore (fails — below Rs 100 crore), FY 2021-22: Rs 102 crore, FY 2022-23: Rs 110 crore, FY 2023-24: Rs 108 crore, FY 2024-25: Rs 115 crore. Since FY 2020-21 (Rs 95 crore) is below the Rs 100 crore threshold, the 'continuous' net worth requirement is not met. The body corporate does not meet the eligibility criterion under Regulation 4(e).","Rs 102 crore + Rs 110 crore + Rs 108 crore + Rs 115 crore = Rs 435 crore

Since this is greater than the minimum of Rs 100 crores, the answer is:

Yes, Rs 435 crore.",FALSE,disagreement,NUM_disagreement,INCORRECT,"Wrong eligibility test: the Rs 95 crore year breaks the required continuous Rs 100 crore minimum, so the promoter fails."
LLaMA-3-8B,NUM_132,numerical_reasoning,0,0,1,An acquirer holds 28% voting rights in a listed company with 10 crore total shares outstanding. What is the maximum number of additional shares they can acquire in financial year 2024-25 without triggering a mandatory open offer under Regulation 3(2)?,5% of 10 crore = 50 lakh shares.,"5% of 10 crore shares = 0.05 x 10,000,000 = 500,000 shares

Maximum additional shares that can be acquired = (28% - 25%) x 10,000,000 = 3% x 10,000,000 = 300,000 shares

Answer: 300,000 shares",FALSE,disagreement,NUM_disagreement,INCORRECT,"Wrong calculation: the permitted acquisition is 5% of total shares = 50 lakh shares, not 3%/30 lakh shares."
LLaMA-3-8B,NUM_136,numerical_reasoning,0,1,0,An acquirer makes a mandatory open offer where the total consideration payable is Rs 400 crore. What is the non-refundable fee payable to SEBI under Regulation 16(1) at the time of filing the draft letter of offer?,"Consideration is more than Rs 10 crore but less than or equal to Rs 1,000 crore: fee = 0.5% of offer size = 0.5% × Rs 400 crore = Rs 2 crore.","Rs 5,00,000 (up to ten crore rupees is not applicable)

More than ten crore rupees but not more than one thousand crore rupees — Rs 0.5% of Rs 400,000,000 = Rs 2,000,000

Final answer: Rs 2,000,000",FALSE,disagreement,NUM_disagreement,INCORRECT,"Wrong amount/units: 0.5% of Rs 400 crore is Rs 2 crore = Rs 20,000,000, not the stated Rs 2,000,000 final answer."
LLaMA-3-8B,TMP_081,temporal_reasoning,0,1,0,"When did SEBI introduce separate prohibitions on wilful defaulters and fugitive economic offenders making open offers under the Takeovers Regulations, and what triggered these additions?","The prohibition on wilful defaulters (Regulation 6A) was inserted by the Second Amendment Regulations, 2016, effective May 25, 2016, following Reserve Bank of India guidelines on wilful defaulters. The prohibition on fugitive economic offenders (Regulation 6B) was inserted by the Second Amendment Regulations, 2018, effective September 11, 2018, following the enactment of the Fugitive Economic Offenders Act, 2018.","Regulation 6A was introduced w.e.f. 25-05-2016, while Regulation 6B was introduced w.e.f. 11-09-2018.",FALSE,disagreement,TMP_disagreement,INCORRECT,Incomplete: gives the dates but omits the required triggers for both additions.
GPT-OSS 120B,REG_022,regulatory_interpretation,0,0,1,"Under SEBI RTI & STA Regulations 2025, for how long must a registrar to an issue maintain records relating to each issue after its completion?",A minimum period of eight years,Eight years.,FALSE,disagreement,REG_disagreement,CORRECT,
GPT-OSS 120B,REG_079,regulatory_interpretation,0,0,1,A company defaulted on repayment of a term loan. The default was remedied. After how long can the company conduct a buy-back?,After three years have lapsed since the default ceased to subsist.,Three years.,FALSE,disagreement,REG_disagreement,CORRECT,
GPT-OSS 120B,NUM_084,numerical_reasoning,0,0,1,"As of February 28, 2026, what was the year-on-year growth rate of M3 (broad money supply)?",11.5%,"**Calculation**

\[
\text{YoY growth rate} = \frac{\text{M3 (2026)} - \text{M3 (2025)}}{\text{M3 (2025)}} \times 100
= \frac{₹31,30,192\ \text{cr} - ₹30,298,040\ \text{cr}}{₹30,298,040\ \text{cr}} \times 100
= 11.5\%
\]

**Answer**

Year‑on‑year growth rate of M3 as of 28 Feb 2026 = **11.5 %**.",FALSE,disagreement,NUM_disagreement,CORRECT,
GPT-OSS 120B,TMP_031,temporal_reasoning,0,0,1,"Describe the step-by-step reduction in the maximum open-market buy-back limit through stock exchanges under SEBI Regulations, from 2023 to the final prohibition.","15% (until March 31, 2023) → 10% (until March 31, 2024) → 5% (until March 31, 2025) → Complete prohibition from April 1, 2025.","- Until 31 Mar 2023 – open‑market buy‑back via a stock exchange may not exceed 15 % of the company’s paid‑up capital + free reserves (based on the lower of standalone or consolidated statements).  
- From 1 Apr 2023 to 31 Mar 2024 – the ceiling is cut to 10 % of paid‑up capital + free reserves.  
- ",FALSE,disagreement,TMP_disagreement,INCORRECT,"Incomplete: omits the final complete prohibition from April 1, 2025."
GPT-OSS 120B,TMP_033,temporal_reasoning,0,1,0,"In chronological order, what are the key dates in the lifecycle of the GoI dated securities auction announced on March 28, 2026?","March 28 (announcement), March 30 – April 02 ('When Issued' trading period), April 02 (auction day, bids submitted), April 06 (settlement, payment by successful bidders).","- 28 Mar 2026 – GoI issues the notification (F.No.4(1)-B(W&M)/2026).  
- 30 Mar 2026 – “When Issued” trading period begins.  
- 02 Apr 2026 – “When Issued” trading period ends and the auction is held (Thursday).  
- 06 Apr 2026 – Settlement of the auction (Monday).",FALSE,disagreement,TMP_disagreement,CORRECT,
GPT-OSS 120B,NUM_039,numerical_reasoning,0,0,1,"Under SEBI (FPI) Regulations 2019, if a designated depository participant application is received by SEBI on 1 March, additional information is called for on 10 March, and the applicant furnishes the information on 25 March, by what date must SEBI dispose of the application?","By 24 April (thirty days from 25 March, the date all required information was furnished, being the later of the two trigger dates)","- Application received: 1 Mar  
- 30 days after receipt: 1 Mar + 30 days = 31 Mar  
- All information furnished: 25 Mar  

The later of the two dates is 31 Mar.  

**Final answer: 31 March**.",FALSE,disagreement,NUM_disagreement,INCORRECT,"Wrong date logic: the 30-day period runs from the later trigger date, March 25, giving April 24."
GPT-OSS 120B,REG_102,regulatory_interpretation,0,0,1,"By what date must a mutual fund pay its annual service fee, and what is the maximum grace period SEBI may allow for a delayed payment?",Before the 15th April each year; the Board may allow payment up to two months from commencement of the financial year,"By 15 April each year; SEBI may extend the deadline to any time within two months of the financial year’s start (i.e., up to 30 June).",FALSE,disagreement,REG_disagreement,INCORRECT,Exact wording is wrong: the fee is due before April 15; the response says by April 15.
GPT-OSS 120B,REG_176,regulatory_interpretation,0,0,1,"What disclosure obligations about rating definitions and rationale must a credit rating agency comply with under SEBI (CRA) Regulations, 1999?","Under Regulation 18, a CRA must: (1) make public the definitions of the concerned rating with the symbol, and must state that ratings do not constitute recommendations to buy, hold, or sell any securities; and (2) make available to the general public information on the rationale of its ratings, which must cover both factors justifying a favourable assessment and factors constituting a risk.","The agency must (i) publish the rating’s definition together with its symbol and expressly state that the rating is not a recommendation to buy, hold or sell securities, and (ii) provide the public with the rating’s rationale, detailing the analysis of factors supporting a favorable view as well as ",FALSE,disagreement,REG_disagreement,INCORRECT,Incomplete: the second disclosure must also cover factors constituting a risk; the response stops before that part.
