item_idx,model,task_type,condition,reference,prediction,is_correct,retrieved_sources
49,Gemini 2.5 Flash,numerical_reasoning,RAG,"Under Regulation 28A(1), a regulatory sandbox exemption may be granted for a period not exceeding twelve months. Regardless of extensions, the total exemption duration cannot exceed 12 months. Even though an initial 8-month exemption was granted, the maximum total duration permissible is 12 months. Any extension beyond the initial 8 months can be for at most 4 more months.","The maximum total duration of the regulatory sandbox exemption permissible is twelve months, as the retrieved text states ""a period as may be specified but not exceeding twelve months"". The text does ",1,"['SEBI_2008_securities_and_exchange_board_of_india_issue_and_listin_077.txt', 'SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt', 'SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt']"
50,Gemini 2.5 Flash,numerical_reasoning,RAG,"32.35%. Calculation: (₹5,500 ÷ ₹17,000) × 100 = 32.35%.",The Maximum Eligible Dividend as a percentage of PAT in Illustration 1 is 32.35%.,0,"['RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt']"
51,Gemini 2.5 Flash,numerical_reasoning,RAG,"The continuing interest requirement is the lower of: (a) 2.5% of corpus = 2.5% × Rs 300 crore = Rs 7.5 crore, or (b) Rs 5 crore. Since Rs 5 crore < Rs 7.5 crore, the minimum continuing interest is Rs 5 crore. The Manager/Sponsor must maintain at least Rs 5 crore of investment in the fund.","The minimum continuing interest the Manager or Sponsor must maintain in this fund is Rs 10 crore, as it is the lower of five percent of the Rs 300 crore corpus (Rs 15 crore) or Rs 10 crore.",1,"['SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_Feb 06, 20_reporting_of_value_of_units_of_alternative_investment_f_017.txt', 'SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt']"
52,Gemini 2.5 Flash,numerical_reasoning,RAG,"The CRA must take steps to rectify the deficiencies within two months from the date of the auditor's report. Date of report: October 3, 2025. Adding two months: December 3, 2025. The deadline for rectification is December 3, 2025.","The provided regulatory text does not contain information regarding deadlines for a CRA to rectify deficiencies identified in an auditor's report under SEBI (CRA) Regulations, 1999.",0,"['SEBI_Feb 10, 20_obligations_on_cras_while_undertaking_rating_of_financi_016.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_Feb 10, 20_obligations_on_cras_while_undertaking_rating_of_financi_016.txt']"
53,Gemini 2.5 Flash,numerical_reasoning,RAG,"Gold reserves as on March 13, 2026: US$ 130,681 million. Increase over the year: US$ 56,289 million.","The retrieved text does not provide the value of India's gold reserves specifically for March 13, 2026 in US dollar terms, nor the increase over the year for that date. The gold reserves data is provi",0,"['RBI_Reserve Ba_reserve_bank_of_india_bulletin_weekly_statistical_suppl_038.txt', 'RBI_Reserve Ba_reserve_bank_of_india_bulletin_weekly_statistical_suppl_078.txt', 'RBI_Money Mark_money_market_operations_as_on_march_24_2026_050.txt']"
54,Gemini 2.5 Flash,numerical_reasoning,RAG,"No. The 45 qualified institutional buyers are excluded from the calculation, so only 170 persons are counted, which is within the two hundred person limit","The provided regulatory text does not specify any private placement limits based on the number of non-QIB or qualified institutional buyers. Therefore, it is not possible to determine if the described",0,"['SEBI_2015_securities_and_exchange_board_of_india_issue_and_listin_066.txt', 'SEBI_2015_securities_and_exchange_board_of_india_issue_and_listin_066.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
55,Gemini 2.5 Flash,numerical_reasoning,RAG,Four independent directors (at least 50% of 8 = 4),"Based on the provided text, there is no information specifying the minimum number of independent directors required for an AMC's board of 8 directors. The text only mentions limits on the maximum numb",0,"['SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt', 'SEBI_1999_securities_and_exchange_board_of_india_collective_inves_084.txt', 'SEBI_2026_securities_and_exchange_board_of_india_mutual_funds_reg_050.txt']"
56,Gemini 2.5 Flash,numerical_reasoning,RAG,"Cumulative fees: After 8 months = Rs 2.65 crore. After month 9: 2.65 + 0.22 = Rs 2.87 crore (threshold of Rs 3 crore not yet breached). After month 10: 2.87 + 0.18 = Rs 3.05 crore (exceeds Rs 3 crore). The fee threshold is breached at the end of the 10th month, when total fees reach Rs 3.05 crore. Excess above threshold = Rs 3.05 − Rs 3.00 = Rs 0.05 crore.",The provided regulatory text does not contain information regarding fee-based transition thresholds for an individual investment adviser's collected fees. The thresholds listed pertain to annual turno,0,"['SEBI_2018_securities_contracts_regulation_stock_exchanges_and_cle_065.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt']"
57,Gemini 2.5 Flash,numerical_reasoning,RAG,"For Category III AIFs, the continuing interest must be the lower of: (a) 5% of corpus = 5% × Rs 150 crore = Rs 7.5 crore, or (b) Rs 10 crore. Since Rs 7.5 crore < Rs 10 crore, the minimum continuing interest is Rs 7.5 crore.","The minimum continuing interest the Manager or Sponsor is required to maintain is Rs 7.5 crore. This is calculated as five percent of the Rs 150 crore corpus, which is lower than ten crore rupees.",0,"['SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt']"
58,Gemini 2.5 Flash,numerical_reasoning,RAG,Maximum buy-back amount: ₹125 crore (25% × ₹500 crore). Maximum debt after buy-back: ₹750 crore assuming free reserves after buyback are ₹375 crore (2:1 ratio applied to remaining capital of ₹375 crore = ₹750 crore debt).,"The maximum buy-back amount for the company is twenty-five per cent of ₹500 crore, which is ₹125 crore. After the buy-back, the paid-up capital and free reserves would be ₹375 crore, making the maximu",0,"['SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt', 'SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt', 'SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt']"
59,Gemini 2.5 Flash,numerical_reasoning,RAG,"The foreign CRA began rating securities from July 2019. By December 2025, it has had 6 years and 5 months of rating experience (July 2019 to December 2025). This exceeds the minimum five-year experience requirement. Yes, the foreign CRA meets the five-year experience requirement.","The retrieved context does not provide information regarding a ""minimum of five years' experience in rating securities"" requirement under SEBI (CRA) Regulations, 1999. Therefore, it is not possible to",0,"['SEBI_Feb 10, 20_obligations_on_cras_while_undertaking_rating_of_financi_016.txt', 'SEBI_Feb 10, 20_obligations_on_cras_while_undertaking_rating_of_financi_016.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt']"
60,Gemini 2.5 Flash,contradiction_detection,RAG,No,"No, the two statements do not impose the same validity period. The first version (Regulation 8(2)) describes the process for applying for a certificate of permanent registration after a credit rating ",1,"['SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt']"
61,Gemini 2.5 Flash,contradiction_detection,RAG,No,"The provided text does not contain Regulation 3(5). Therefore, it is not possible to determine if Regulation 3(1) and Regulation 3(5) contradict each other regarding the shareholding threshold trigger",1,"['SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt', 'SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt', 'SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt']"
62,Gemini 2.5 Flash,contradiction_detection,RAG,Yes,"The first passage refers to the lock-in period for minimum promoters' contribution as ""years,"" which is incomplete and does not provide a specific duration. The second passage discusses the eligibilit",0,"['SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt']"
63,Gemini 2.5 Flash,contradiction_detection,RAG,No,"The provided regulatory text does not contain the main provision or the 2020 proviso of Regulation 3(2) of SEBI Takeovers Regulations 2011. Therefore, it is not possible to determine if they contradic",1,"['SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt', 'SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt', 'SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt']"
64,Gemini 2.5 Flash,contradiction_detection,RAG,No,"The provided text does not mention ""SEBI PIT Regulations 2015"" or specify any disclosure timelines for either companies or asset management companies. It primarily discusses disclosure requirements re",1,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
65,Gemini 2.5 Flash,contradiction_detection,RAG,No,"No, these two versions of Regulation 13(5) do not prescribe the same maximum tenure extension period for all close-ended AIFs. A general close-ended Alternative Investment Fund may be extended up to t",1,"['SEBI_2012_securities_and_exchange_board_of_india_alternative_inve_072.txt', 'SEBI_Feb 06, 20_reporting_of_value_of_units_of_alternative_investment_f_017.txt', 'SEBI_Mar 04, 20_regulatory_reporting_by_aifs_008.txt']"
66,Gemini 2.5 Flash,contradiction_detection,RAG,No,"No, the two passages are not contradictory. The first passage repeals an older set of directions and explicitly states they will be replaced by the ""Reserve Bank of India (Small Finance Banks - Pruden",1,"['RBI_RBI-DOR-20_rbidor2025-2026235doraccrecno42421020672025-26_017.txt', 'RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt']"
67,Gemini 2.5 Flash,contradiction_detection,RAG,No,"No, the provided text does not contain two press releases detailing an aggregate amount for a State Government Securities auction to be held on March 24, 2026. The first press release concerns Governm",1,"['RBI_Auction of_auction_of_government_of_india_dated_securities_028.txt', 'RBI_Auction of_auction_of_state_government_securities_revised_071.txt', 'RBI_Auction of_auction_of_state_government_securities_051.txt']"
68,Gemini 2.5 Flash,contradiction_detection,RAG,No,"The provided text does not contain any information regarding the SEBI (Intermediaries) Regulations 2008 or the effective dates of its chapters. Therefore, based solely on the retrieved context, it is ",1,"['SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt', 'SEBI_2008_securities_and_exchange_board_of_india_intermediaries_r_076.txt', 'SEBI_2011_securities_and_exchange_board_of_india_kyc_know_your_cl_074.txt']"
69,Gemini 2.5 Flash,contradiction_detection,RAG,No,"Based on the retrieved text, there is no information provided about when an acquirer can complete an underlying acquisition transaction under Regulation 22(1) or Regulation 22(2). Therefore, it is not",1,"['SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt', 'SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt', 'SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt']"
70,Gemini 2.5 Flash,contradiction_detection,RAG,No,"No, the provided text does not specify a minimum proportion of independent trustees for a mutual fund. It only states that trustees shall ensure adequate oversight through an appropriate number of per",1,"['SEBI_2026_securities_and_exchange_board_of_india_mutual_funds_reg_050.txt', 'SEBI_2026_securities_and_exchange_board_of_india_mutual_funds_reg_050.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
71,Gemini 2.5 Flash,contradiction_detection,RAG,No,"No, the two passages do not impose the same advance notice period for different types of securities actions. The first passage specifies a 30-calendar-day period for filing a settlement application, w",1,"['SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.txt', 'SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt']"
72,Gemini 2.5 Flash,contradiction_detection,RAG,No,"The provided regulatory text does not contain any information about Regulation 15(1)(e) or its original and 2021-amended versions. Therefore, it is not possible to determine if they cover the same cat",1,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
73,Gemini 2.5 Flash,contradiction_detection,RAG,No,"No, Bucket B1 and Bucket B10 do not permit the same dividend payout as a percentage of Adjusted PAT. Bucket B1 allows 0% dividend, while Bucket B10 allows 100% dividend based on the illustration provi",1,"['RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_RBI-2025-2_rbi2025-2026238dormrgrecno43321-01-0022025-26_014.txt']"
74,Gemini 2.5 Flash,contradiction_detection,RAG,Yes,"No, the provided text does not apply the same shareholding threshold in both implied passages. The first section does not specify any shareholding threshold for cross-ownership or activity restriction",0,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_2026_securities_and_exchange_board_of_india_mutual_funds_reg_050.txt', 'SEBI_Feb 26, 20_categorization_and_rationalization_of_mutual_fund_schem_013.txt']"
75,Gemini 2.5 Flash,contradiction_detection,RAG,No,"Yes, both passages impose a 5% limit on transactions through sponsor-associated brokers. No, the limit is not measured over the same time period; Passage A (referring to the prior regulation) specifie",1,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_2026_securities_and_exchange_board_of_india_mutual_funds_reg_050.txt', 'SEBI_1992_securities_and_exchange_board_of_india_merchant_bankers_090.txt']"
76,Gemini 2.5 Flash,contradiction_detection,RAG,No,"The passages prescribe a maximum permissible gap of one hundred and twenty days between two consecutive meetings for the audit committee. However, the provided text does not specify any maximum permis",1,"['SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt', 'SEBI_2018_securities_contracts_regulation_stock_exchanges_and_cle_065.txt', 'SEBI_2018_securities_and_exchange_board_of_india_depositories_and_062.txt']"
77,Gemini 2.5 Flash,contradiction_detection,RAG,No,"No, the provided passages do not describe intermediaries who hold permanent certificates. The certificate mentioned is valid for a period of three years. Furthermore, the text refers to the SEBI (Cert",1,"['SEBI_2007_sebi_certification_of_associated_persons_in_the_securit_078.txt', 'SEBI_2007_sebi_certification_of_associated_persons_in_the_securit_078.txt', 'SEBI_2007_sebi_certification_of_associated_persons_in_the_securit_078.txt']"
78,Gemini 2.5 Flash,contradiction_detection,RAG,No,"No, they do not provide the same grounds. The 2018-amended version of Regulation 16(3) adds an additional ground for withdrawal, ""or as may be specified by,"" which was not present in the original text",1,"['SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt']"
79,Gemini 2.5 Flash,contradiction_detection,RAG,No,"The provided text does not contain any information regarding a ""50% monetary asset limit"" for initial public offers. Therefore, it does not indicate whether such a limit always applies to every IPO re",1,"['SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt']"
80,Gemini 2.5 Flash,contradiction_detection,RAG,No,"No, the passages do not contradict each other. One passage prohibits considering a second application if an earlier one for the same alleged default was rejected. The other passage addresses applicati",1,"['SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.txt', 'SEBI_2018_securities_and_exchange_board_of_india_settlement_proce_064.txt', 'SEBI_2021_securities_and_exchange_board_of_india_issue_and_listin_056.txt']"
81,Gemini 2.5 Flash,contradiction_detection,RAG,No,"No, Passage A and Passage B do not set the same minimum networth requirement comprehensively. While both passages specify a networth of not less than rupees one hundred crore under certain sponsor con",1,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
82,Gemini 2.5 Flash,contradiction_detection,RAG,No,"The provided text does not mention depositories. While it describes shareholding thresholds for delisting (e.g., 75% total, 50% public, or 90% public shares tendered) and conditions for successful off",1,"['SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt', 'SEBI_2021_securities_and_exchange_board_of_india_delisting_of_equ_055.txt', 'SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt']"
83,Gemini 2.5 Flash,contradiction_detection,RAG,No,"The provided regulatory text does not contain any information about Regulation 16(1)(c), nor does it discuss the scope of borrowing by Category I AIFs, either pre-2024 or post-2024. Therefore, based s",1,"['SEBI_Mar 04, 20_regulatory_reporting_by_aifs_008.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_Feb 06, 20_reporting_of_value_of_units_of_alternative_investment_f_017.txt']"
84,Gemini 2.5 Flash,contradiction_detection,RAG,Yes,Neither passage states a percentage of the notified amount reserved for non-competitive bidding in Government Securities auctions. The first passage discusses competitive bidding for State Government ,0,"['RBI_Auction of_auction_of_state_government_securities_051.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt', 'RBI_State Gove_state_government_securities_-_full_auction_result_039.txt']"
85,Gemini 2.5 Flash,contradiction_detection,RAG,No,"The provided text does not contain information about Regulation 14(g) or any 2011 amendment regarding mandatory rating requirements for large debt security issues. Therefore, it is not possible to ans",1,"['SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1993_securities_and_exchange_board_of_india_debenture_truste_089.txt']"
86,Gemini 2.5 Flash,contradiction_detection,RAG,No,"The provided text does not contain information regarding whether mutual fund schemes are permitted to hold unlisted equity instruments. It only discusses investments in derivatives, short-term deposit",1,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_2019_securities_and_exchange_board_of_india_foreign_portfoli_060.txt']"
87,Gemini 2.5 Flash,contradiction_detection,RAG,No,"The provided regulatory text does not contain any information regarding ""Regulation 9(f)"". Therefore, it is not possible to compare the original and amended versions of Regulation 9(f) based solely on",1,"['SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt']"
88,Gemini 2.5 Flash,contradiction_detection,RAG,No,"No, the pre-2020 version of clause 1(a) explicitly listed specific professional and post-graduate qualifications. The post-2020 substituted text for clause 1 broadly states compliance with qualificati",1,"['SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt']"
89,Gemini 2.5 Flash,contradiction_detection,RAG,No,"Based on the retrieved text, Regulation 7(1) is not fully provided. Therefore, it is not possible to determine if there is a contradiction between Regulation 7(1) and Regulation 7(2) regarding the min",1,"['SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt', 'SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt', 'SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt']"
90,Gemini 2.5 Flash,temporal_reasoning,RAG,"June 15, 2026 — one year from the expiry date (June 15, 2025) of the buyback period of the preceding offer.","The provided regulatory text does not specify a minimum period between the completion of a buy-back and the launch of a subsequent buy-back offer. Therefore, based solely on this text, there is no res",0,"['SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt', 'SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt', 'SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt']"
91,Gemini 2.5 Flash,temporal_reasoning,RAG,"The definition aligning with Companies Act 2013 sub-section (51) of section 2, effective from 31.01.2023","The provided text indicates that the definition of ""key managerial personnel"" was substituted effective January 31, 2023. However, the text only provides the definition *prior* to this substitution. T",0,"['SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt', 'SEBI_2018_securities_and_exchange_board_of_india_depositories_and_062.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt']"
92,Gemini 2.5 Flash,temporal_reasoning,RAG,"The constraint applies cumulatively across both payments. The Maximum Eligible Dividend (₹1,125 crore) is the total permitted across the full financial year. Since ₹500 crore has already been paid as interim dividend, the final dividend is capped at the remaining ₹625 crore (₹1,125 - ₹500).",The Maximum Eligible Dividend (G) serves as a cumulative limit for the financial year. The interim dividend paid (H) is deducted from this overall limit to determine the maximum permissible final divi,1,"['RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt', 'RBI_Reserve Ba_reserve_bank_of_india_small_finance_banks_prudential_no_099.txt']"
93,Gemini 2.5 Flash,temporal_reasoning,RAG,"The SEBI (Mutual Funds) Regulations, 1996","The SEBI (MUTUAL FUNDS) REGULATIONS, 1996 established the regulatory framework for mutual funds in India. This comprehensive set of regulations, including its various chapters and subsequent amendment",1,"['SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt', 'SEBI_1996_securities_and_exchange_board_of_india_mutual_funds_reg_087.txt']"
94,Gemini 2.5 Flash,temporal_reasoning,RAG,Is made,The provided text does not contain information regarding the phrase used in the definition of 'frequently traded shares' before September 2018 that was replaced by 'is required to be made under these ,1,"['SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt', 'SEBI_2015_securities_and_exchange_board_of_india_listing_obligati_067.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt']"
95,Gemini 2.5 Flash,temporal_reasoning,RAG,"The regulatory sandbox provision (Regulation 31A) was inserted by the SEBI (Regulatory Sandbox) (Amendment) Regulations, 2020, effective April 17, 2020. SEBI can grant exemptions from any provisions of the Takeovers Regulations for a period not exceeding 12 months, subject to such conditions as SEBI deems appropriate, to enable testing of new products, processes, services, or business models in a live environment.","The provided text does not specify when the regulatory sandbox exemption was introduced into SEBI Takeovers Regulations 2011. However, the maximum duration for which SEBI can grant such an exemption i",0,"['SEBI_2014_securities_and_exchange_board_of_india_infrastructure_i_091.txt', 'SEBI_2008_securities_and_exchange_board_of_india_issue_and_listin_077.txt', 'SEBI_2018_securities_and_exchange_board_of_india_buy-back_of_secu_061.txt']"
96,Gemini 2.5 Flash,temporal_reasoning,RAG,"Approximately 11 years and 9 months — from May 14, 2014 to February 27, 2026.","The provided regulatory text does not mention the Al-Nusrah Front, nor does it specify the duration any entity was listed before removal. It only states that one entry was removed from the sanctions l",0,"['SEBI_Feb 27, 20_updates_for_implementation_of_section_51a_of_uapa_1967__045.txt', 'SEBI_Mar 26, 20_updates_for_implementation_of_section_51a_of_uapa_1967__029.txt', 'SEBI_Mar 26, 20_updates_for_implementation_of_section_51a_of_uapa_1967__028.txt']"
97,Gemini 2.5 Flash,temporal_reasoning,RAG,Institutional trading platform,"Before April 5, 2019, the trading platform for emerging issuers was known as ""INSTITUTIONAL TRADING PLATFORM"".",1,"['SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt']"
98,Gemini 2.5 Flash,temporal_reasoning,RAG,"The original Regulation 22 (2013) was titled 'Segregation of execution services' and applied only to investment advisers that are banks, NBFCs, and body corporates which also provide distribution or execution services. Such entities could continue offering distribution services alongside advice provided they maintained operational segregation, ensured clients were not obligated to avail distribution services, maintained arms-length relationships, and ensured fees were paid directly to service providers. Individual investment advisers were not explicitly covered. The SEBI (Investment Advisers) (Amendment) Regulations, 2020 (w.e.f. 30-09-2020) completely substituted Regulation 22 — retitling it 'Client level segregation of advisory and distribution activities.' The 2020 version imposed a complete prohibition on individual investment advisers (and their families) from providing distribution services, and replaced the prior operational-segregation approach for non-individual entities with a stricter client-level segregation at the group level.","The provided regulatory text does not contain information regarding Regulation 22 of the SEBI (Investment Advisers) Regulations, 2013, or its amendment in 2020. Therefore, I cannot answer the question",0,"['SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt', 'SEBI_2013_securities_and_exchange_board_of_india_investment_advis_071.txt']"
99,Gemini 2.5 Flash,temporal_reasoning,RAG,"The regulatory framework for ESG rating providers was introduced through the insertion of Chapter IVA (comprising Regulations 28A to 28I) by the Securities and Exchange Board of India (Credit Rating Agencies) (Amendment) Regulations, 2023, with effect from 4 July 2023. Prior to this amendment, SEBI (CRA) Regulations, 1999 contained no provisions specifically governing ESG rating providers.","The regulatory framework for ESG rating providers was introduced by the Securities and Exchange Board of India (Credit Rating Agencies) (Amendment) Regulations, 2023, effective from 4.07.2023.",1,"['SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt', 'SEBI_1999_securities_and_exchange_board_of_india_credit_rating_ag_085.txt']"
100,Gemini 2.5 Flash,temporal_reasoning,RAG,"The requirement for AIFs to hold investments in dematerialised form was introduced by the Securities and Exchange Board of India (Alternative Investment Funds) (Amendment) Regulations, 2024, with effect from 5 January 2024 (Regulation 15(1)(i)). Three exceptions apply: (a) investments in instruments that are not eligible for dematerialisation; (b) investments held by a liquidation scheme that are not available in dematerialised form; and (c) such other investments and schemes as may be specified by the Board from time to time.","The requirement for AIFs to issue units in dematerialized form was introduced in terms of Regulation 10(aa) of SEBI (Alternative Investment Funds) Regulations, 2012, and SEBI circular no. SEBI/HO/AFD/",0,"['SEBI_Feb 06, 20_reporting_of_value_of_units_of_alternative_investment_f_017.txt', 'SEBI_Mar 23, 20_key_decisions_taken_in_the_sebi_board_meeting_dated_23r_034.txt', 'SEBI_Mar 04, 20_regulatory_reporting_by_aifs_008.txt']"
101,Gemini 2.5 Flash,temporal_reasoning,RAG,"March 28 (announcement), March 30 – April 02 ('When Issued' trading period), April 02 (auction day, bids submitted), April 06 (settlement, payment by successful bidders).","The lifecycle begins with the announcement on March 28, 2026, followed by ""When Issued"" trading from March 30, 2026, to April 02, 2026. On April 02, 2026, underwriting and auction bids are submitted, ",0,"['RBI_Auction of_auction_of_government_of_india_dated_securities_028.txt', 'RBI_Issuance C_issuance_calendar_for_marketable_dated_securities_for_a_031.txt', 'RBI_Calendar f_calendar_for_auction_of_government_of_india_treasury_bi_030.txt']"
102,Gemini 2.5 Flash,temporal_reasoning,RAG,"The Amendment Regulations, 2021, effective May 5, 2021, inserted Regulations 3(5) and 6(4) providing that the 25% mandatory open offer threshold reads as 49% for IGP-listed entities. Simultaneously, the same amendment renamed 'institutional trading platform' to 'Innovators Growth Platform' throughout the regulations.","The 49% open offer threshold for entities listed on the Innovators Growth Platform was introduced by the SEBI (Substantial Acquisition of Shares and Takeovers) (Amendment) Regulations, 2021, effective",0,"['SEBI_2011_securities_and_exchange_board_of_india_substantial_acqu_073.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt', 'SEBI_2018_securities_and_exchange_board_of_india_issue_of_capital_063.txt']"
