row_number,id,task_type,difficulty,context,question,reference_answer,is_correct__YES_or_NO,notes_if_NO
49,CON_062,contradiction_detection,medium,"PASSAGE A:
Regulation 2(1)(pa) (before November 2025 amendment): 'large value fund for accredited investors' means an Alternative Investment Fund or scheme of an Alternative Investment Fund in which each investor (other than the Manager, Sponsor, employees or directors of the Alternative Investment Fund or employees or directors of the Manager) is an accredited investor and invests not less than seventy crore rupees.

PASSAGE B:
Regulation 2(1)(pa) (as amended w.e.f. 19-11-2025): 'large value fund for accredited investors' means an Alternative Investment Fund or scheme of an Alternative Investment Fund in which each investor (other than the Manager, Sponsor, employees or directors of the Alternative Investment Fund or emplo",Does the original definition of 'large value fund for accredited investors' and the November 2025-amended definition impose the same minimum investment threshold per investor?,No,,
50,CON_034,contradiction_detection,medium,"PASSAGE A:
The auction will be conducted using multiple price method.

PASSAGE B:
For uniform price-based auction, bids will get accepted at the cut off yield/price accepted in the auction.","Does the GoI dated securities auction announced on March 28, 2026 use a uniform price method where all successful bidders receive securities at the same cut-off price?",No,,
51,CON_066,contradiction_detection,easy,"PASSAGE A:
Regulation 8(2) (pre-2016, as inserted by 2011 Amendment): The certificate of initial registration granted under sub-regulation (1) shall be valid for a period of five years from the date of its issue to the applicant.

PASSAGE B:
Regulation 8(2) (as substituted w.e.f. 08-12-2016): The certificate of registration granted under sub-regulation (1) shall be valid unless it is suspended or cancelled by the Board.",Do these two versions of Regulation 8(2) impose the same validity period for a credit rating agency's certificate of registration?,No,,
52,CON_047,contradiction_detection,easy,"PASSAGE A:
The asset management company has a networth of not less than rupees ten crore.

PASSAGE B:
The asset management company has a networth of not less than rupees fifty crore deployed in assets as may be specified by the Board.",Do Passage A and Passage B set the same minimum networth requirement for an asset management company?,No,,
53,CON_003,contradiction_detection,easy,"PASSAGE A:
The Manager or Sponsor shall have a continuing interest in the Alternative Investment Fund of not less than two and half percent of the corpus or five crore rupees, whichever is lower, in the form of investment in the Alternative Investment Fund and such interest shall not be through the waiver of management fees.

PASSAGE B:
Provided that for Category III Alternative Investment Fund, the continuing interest shall be not less than five percent of the corpus or ten crore rupees, whichever is lower.",Do the two passages prescribe different minimum continuing interest thresholds for Category I/II AIFs versus Category III AIFs under SEBI AIF Regulations 2012?,Yes,,
54,CON_043,contradiction_detection,easy,"PASSAGE A:
""independent research analyst"" means a person whose only business activity is research analysis or preparation and/or publication of research report.

PASSAGE B:
""part-time research analyst"" means an individual or a partnership firm who for consideration, is engaged in the business of providing research services and is also engaged in any other business activity or employment.",Do the definitions of 'independent research analyst' and 'part-time research analyst' under SEBI (Research Analysts) Regulations 2014 describe the same type of professional?,No,,
55,CON_030,contradiction_detection,easy,"PASSAGE A:
Section A of the Directions on implementation of Legal Entity Identifier (LEI) shall come into force with immediate effect.

PASSAGE B:
Section B of the Directions on implementation of Unique Transaction Identifier (UTI) shall come into effect from January 01, 2027.",Do Section A and Section B of the RBI Master Direction on Unique Identifiers in Financial Markets 2026 both come into force on the same date?,No,,
56,CON_005,contradiction_detection,hard,"PASSAGE A:
A recognised stock exchange shall not be eligible for recognition if any person, individually or together with persons acting in concert with such person, acquires or holds or controls more than five per cent of the paid-up equity share capital of the recognised stock exchange without prior written approval of the Board. Provided that the limit of five per cent shall be fifteen per cent in the case of stock exchanges, depositories, banking companies, insurance companies, and public financial ins

PASSAGE B:
A depository shall not be eligible to carry on its activities as a depository if any person, individually or together with persons acting in concert, holds or acquires more than five per cent of the paid-up equity share capital of such depository, unless the prior approval of the Board has been obta",Do the two passages impose different shareholding thresholds triggering mandatory Board approval for acquisitions in recognised stock exchanges versus depositories?,No,,
57,CON_073,contradiction_detection,hard,"PASSAGE A:
Regulation 3(2): No acquirer who together with persons acting in concert holds 25% or more but less than the maximum permissible non-public shareholding shall acquire within any financial year additional shares or voting rights entitling them to exercise more than five per cent of the voting rights, unless an open offer is made.

PASSAGE B:
Regulation 3(2) proviso (inserted by Amendment Regulations, 2020, w.e.f. 16-06-2020): Provided that the acquisition beyond five per cent but upto ten per cent of the voting rights in the target company shall be permitted for the financial year 2020-21 only in respect of acquisition by a promoter pur",Do the main provision and the 2020 proviso of Regulation 3(2) of SEBI Takeovers Regulations 2011 contradict each other about the annual creep acquisition limit?,No,,
58,CON_068,contradiction_detection,hard,"PASSAGE A:
Regulation 14(g) (original): the client shall agree to obtain a rating from at least two different rating agencies for any issue of debt securities whose size is equal to or exceeds, rupees one hundred crores.

PASSAGE B:
Regulation 14(g) (as substituted w.e.f. 27-12-2011): the client shall obtain a rating for any issue of debt securities in accordance with the relevant regulations.",Do the original Regulation 14(g) and the 2011-amended version impose the same mandatory rating requirement for large debt security issues?,No,,
59,CON_007,contradiction_detection,hard,"PASSAGE A:
An application may be withdrawn at any time prior to the communication of the decision of the Board. An applicant who withdraws an application shall not be permitted to make another application in respect of the same default.

PASSAGE B:
In a case where an application was earlier rejected by the Board on the ground that the applicant did not remit the settlement amount within the period specified, such an application may be considered subject to an increase of atleast fifty percent over the settlement amount determined in accordance",Do the two passages contradict each other regarding whether a second settlement application can ever be made for the same default?,No,,
60,CON_050,contradiction_detection,hard,"PASSAGE A:
No asset management company shall deal in securities through any broker associated with the sponsor or a firm which is an associate of a sponsor beyond 5% of the daily gross business of the mutual fund.

PASSAGE B:
An asset management company shall not through any broker associated with the sponsor, purchase or sell securities, which is average of 5 per cent or more of the aggregate purchases and sale of securities made by the mutual fund in all its schemes: Provided further that the aforesaid limit of 5 per c","Do Passage A and Passage B impose the same percentage limit on transactions through sponsor-associated brokers, and is the limit measured over the same time period?",No,,
61,TMP_055,temporal_reasoning,medium,"The original Regulation 45 of SEBI (Mutual Funds) Regulations, 1996 provided: 'The funds of a scheme shall not in any manner be used in option trading or in short selling or carry forward transactions.' This absolute prohibition was substantially modified by the SEBI (Mutual Funds) (Second Amendment) Regulations, 2007 (w.e.f. 31-10-2007) to permit mutual funds to engage in short selling transactions and derivatives transactions on recognised stock exchanges, subject to the framework specified by the Board.","Under the original SEBI (Mutual Funds) Regulations, 1996, were mutual fund schemes permitted to use scheme funds in option trading, short selling, or carry forward transactions?","No. The original Regulation 45 absolutely prohibited the use of scheme funds in option trading, short selling, or carry forward transactions.",,
62,TMP_033,temporal_reasoning,medium,"Government of India (GoI) has announced the sale of two dated securities. GoI specific Notification: F.No.4(1)-B(W&M)/2026 dated March 28, 2026. Auction Date: April 02, 2026 (Thursday). Settlement Date: April 06, 2026 (Monday). When Issued trading period: March 30, 2026 - April 02, 2026.","In chronological order, what are the key dates in the lifecycle of the GoI dated securities auction announced on March 28, 2026?","March 28 (announcement), March 30 – April 02 ('When Issued' trading period), April 02 (auction day, bids submitted), April 06 (settlement, payment by successful bidders).",,
63,TMP_017,temporal_reasoning,medium,"The SEBI (AIF) Regulations, 2012 were the first set of regulations governing the alternative investment fund industry in India in a consolidated manner. The provision permitting social impact funds to issue 'social units' and to raise funds from social investors was inserted by the SEBI (Alternative Investment Funds) (Third Amendment) Regulations, 2022, w.e.f 25.07.2022. Before July 2022, social impact funds could not issue social units under the AIF Regulations.","Under SEBI AIF Regulations, from which date could social impact funds start issuing 'social units' under the AIF regulatory framework?","25 July 2022, following the Third Amendment Regulations, 2022",,
64,TMP_059,temporal_reasoning,medium,"Regulation 7(1)(a) (pre-2020 Amendment): A professional qualification or graduate degree or post-graduate degree or post graduate diploma (minimum two years in duration) in finance, accountancy, business management, commerce, economics, capital market, banking, insurance or actuarial science or other financial services as may be specified from a university or an institution recognized by the Central Government or any State Government or a recognised foreign university or institution or association or a professional qualification by completing a Post Graduate Program in the Securities Market (Investment Advisory) from NISM of a duration not less than one year or a professional qualification b","How did the minimum qualification requirement for individual investment advisers under SEBI IA Regulations change with the 2020 amendment, and what further modification was made in 2025?","Under the original 2013 regulations, Regulation 7(1)(a) required a professional qualification or PG degree/diploma of minimum two years duration specifically in finance, accountancy, business management, commerce, economics, capital markets, banking, insurance, or actuarial science — or a CFA Charter. The SEBI (Investment Advisers) (Amendment) Regulations, 2020 (w.e.f. 30-09-2020) broadened this by permitting any professional qualification or graduate/post-graduate degree or diploma with no restriction on field of study, alongside NISM certification. The SEBI (Investment Advisers) (Second Amendment) Regulations, 2025 (w.e.f. 25-11-2025) further updated Regulation 7(1)(a) to require only a graduate degree (any discipline) or CFA Charter plus relevant NISM certification — removing the old requirement for a finance-specific discipline or work experience.",,
65,TMP_008,temporal_reasoning,medium,"Funds registered as venture capital funds under the Securities and Exchange Board of India (Venture Capital Funds) Regulations, 1996 shall be governed by the said regulations for a period of five years from the commencement of the SEBI (AIF) Regulations, 2012, provided that the existing fund shall not increase the targeted corpus of the fund. Venture capital funds may seek registration under the AIF Regulations as migrated venture capital funds in terms of Chapter III-D, within twelve months of notification of the relevant regulations.","Under SEBI AIF Regulations 2012, how long could funds registered under the earlier SEBI Venture Capital Funds Regulations, 1996 continue to be governed by those older regulations before being required to migrate?","Five years from the commencement of the SEBI (AIF) Regulations, 2012",,
66,TMP_087,temporal_reasoning,medium,"Regulation 8(2)(e) prior to 2025: price for infrequently traded shares was determined by 'the acquirer and the manager to the open offer'. Substituted by the SEBI (SAST) (Amendment) Regulations, 2025, w.e.f. 03-01-2026, to require 'an independent registered valuer'. The same amendment also substituted similar references in Regulation 8(4) and Regulation 9(5). A 9-month transition period was provided for ongoing valuation assignments.","What significant change did the SEBI Takeovers Amendment Regulations, 2025 make to who can conduct share valuations for open offers, and what transitional protection was provided for ongoing assignments?","The 2025 Amendment Regulations, effective January 3, 2026, replaced the requirement that valuations for infrequently traded shares (Regulation 8(2)(e) and 8(4)) and consideration shares (Regulation 9(5)) be done by the acquirer and the manager to the open offer (or an independent merchant banker/chartered accountant with 10 years' experience) with the requirement for an independent registered valuer as defined under section 247 of the Companies Act, 2013. A transition period of 9 months was provided for valuation assignments already underway before the amendment came into force.",,
67,TMP_047,temporal_reasoning,medium,"Under the SEBI (Mutual Funds) Regulations, 1996, the minimum networth requirement for an asset management company was originally set at rupees ten crore. The SEBI (Mutual Funds) (Amendment) Regulations, 2014 (w.e.f. 06-05-2014) substituted this threshold with 'rupees fifty crore', raising the minimum networth requirement substantially. Existing AMCs that did not meet this higher threshold were given three years from the date of notification of the 2014 amendment to increase their networth to the revised limit.","What minimum AMC networth was introduced by the SEBI (Mutual Funds) Amendment Regulations, 2014, replacing the original threshold?",Rupees fifty crore (replacing the original requirement of rupees ten crore),,
68,TMP_083,temporal_reasoning,medium,"Regulation 3(5): For the purpose of this regulation, any reference to 'twenty-five per cent' in case of listed entity which has listed its specified securities on Innovators Growth Platform shall be read as 'forty-nine per cent'. Inserted by the SEBI (Substantial Acquisition of Shares and Takeovers) (Amendment) Regulations, 2021, w.e.f. 05-05-2021. Regulation 1(3): The word 'institutional trading platform' was also substituted to 'Innovators Growth Platform' by the same 2021 amendment.","When did SEBI introduce the higher 49% open offer threshold for entities listed on the Innovators Growth Platform (formerly Institutional Trading Platform), and what changes were made simultaneously?","The Amendment Regulations, 2021, effective May 5, 2021, inserted Regulations 3(5) and 6(4) providing that the 25% mandatory open offer threshold reads as 49% for IGP-listed entities. Simultaneously, the same amendment renamed 'institutional trading platform' to 'Innovators Growth Platform' throughout the regulations.",,
69,TMP_066,temporal_reasoning,medium,"Regulation 2(1)(pa) (inserted by SEBI (AIF) (Third Amendment) Regulations, 2021, w.e.f. 03-08-2021): 'large value fund for accredited investors' means an Alternative Investment Fund or scheme in which each investor is an accredited investor and invests not less than seventy crore rupees. [Renamed to 'Accredited Investors only fund' and updated by SEBI (AIF) (Third Amendment) Regulations, 2025, w.e.f. 19-11-2025.]","When was the concept of 'large value fund for accredited investors' first introduced under SEBI AIF Regulations, 2012, and what was the original minimum investment threshold?","The concept of 'large value fund for accredited investors' was first introduced by the Securities and Exchange Board of India (Alternative Investment Funds) (Third Amendment) Regulations, 2021, with effect from 3 August 2021. The original minimum investment per qualifying investor was not less than Rs seventy crore. This threshold was later reduced to Rs twenty-five crore by the SEBI (AIF) (Third Amendment) Regulations, 2025, w.e.f. 19-11-2025.",,
70,TMP_014,temporal_reasoning,medium,"The term 'sponsor group' was substituted for 'sponsor(s)' by the SEBI (Real Estate Investment Trusts) (Amendment) Regulations, 2016. Prior to this amendment, the relevant provisions referred only to 'sponsors'. The term 'inducted sponsor' was inserted by a subsequent amendment and means any person who has been inducted as a sponsor of the REIT after its initial registration. The term 're-designated sponsor' was further added in a later amendment.",What term was used in SEBI REIT Regulations 2014 before the 2016 amendment replaced it with the broader term 'sponsor group'?,Sponsor(s),,
71,TMP_002,temporal_reasoning,easy,"The minimum promoters' contribution lock-in was originally set at three years from the date of commencement of commercial production or allotment, whichever is later. This was subsequently substituted by the SEBI (Issue of Capital and Disclosure Requirements) (Third Amendment) Regulations, 2021, w.e.f. 13.08.2021, replacing the three-year lock-in with eighteen months from the date of allotment in the initial public offer (except where proceeds are used for capital expenditure).",Which lock-in regime for minimum promoters' contribution applied before 13 August 2021 — three years or eighteen months?,"Three years from the date of commencement of commercial production or date of allotment, whichever is later",,
72,TMP_077,temporal_reasoning,easy,"Chapter IVA (ESG Rating Providers) inserted by SEBI (CRA) (Amendment) Regulations, 2023, w.e.f. 4.07.2023. Regulation 28C: no person shall act as an ESG rating provider unless it has obtained a certificate from the Board.","When was the regulatory framework for ESG rating providers introduced under SEBI (CRA) Regulations, 1999?","The regulatory framework for ESG rating providers was introduced through the insertion of Chapter IVA (comprising Regulations 28A to 28I) by the Securities and Exchange Board of India (Credit Rating Agencies) (Amendment) Regulations, 2023, with effect from 4 July 2023. Prior to this amendment, SEBI (CRA) Regulations, 1999 contained no provisions specifically governing ESG rating providers.",,
73,TMP_069,temporal_reasoning,easy,"Regulation 2(1)(ga) (inserted by SEBI (AIF) (Second Amendment) Regulations, 2023, w.e.f. 15-06-2023): 'Corporate Debt Market Development Fund' means an Alternative Investment Fund set up and making investments in terms of Chapter III-C of these regulations.","When was the Corporate Debt Market Development Fund (CDMDF) category introduced under SEBI AIF Regulations, 2012?","The Corporate Debt Market Development Fund was introduced by the Securities and Exchange Board of India (Alternative Investment Funds) (Second Amendment) Regulations, 2023, with effect from 15 June 2023. The CDMDF is defined as an Alternative Investment Fund set up and making investments in accordance with Chapter III-C of the AIF Regulations.",,
74,TMP_005,temporal_reasoning,easy,"The term 'innovators growth platform' was substituted by the SEBI (ICDR) (Second Amendment) Regulations, 2019, w.e.f 05.04.2019. Prior to its substitution, it was referred to as 'institutional trading platform' and was defined as the trading platform for listing and trading of specified securities of issuers that comply with the eligibility criteria specified in regulation 288. After the amendment, it is defined as the trading platform for listing and trading of specified securities of issuers that comply with the eligibility criteria specified in regulation 283.",What was the name of the trading platform for emerging issuers under SEBI ICDR Regulations before 5 April 2019?,Institutional trading platform,,
75,TMP_042,temporal_reasoning,easy,"Reserve Bank of India will also be conducting switches of dated securities through auction on the third Monday of every month or at more frequent intervals. In case the third Monday is a holiday, switch auction will be conducted on the fourth Monday of the month.","Under the RBI GoI issuance calendar for H1 FY2026-27, if the third Monday of a month is a public holiday, on which day is the switch auction conducted instead?",On the fourth Monday of that month.,,
76,TMP_028,temporal_reasoning,easy,"Section A of the Directions on implementation of Legal Entity Identifier (LEI) shall come into force with immediate effect. Section B of the Directions on implementation of Unique Transaction Identifier (UTI) shall come into effect from January 01, 2027. The Master Direction was issued on March 27, 2026.",Which was implemented first under the RBI Master Direction on Unique Identifiers in Financial Markets 2026 — the LEI framework or the UTI framework?,"The LEI framework (Section A) was implemented first, coming into force with immediate effect from March 27, 2026. The UTI framework (Section B) comes into effect later, on January 01, 2027.",,
77,TMP_057,temporal_reasoning,easy,"Regulation 10 (original, 2013): The certificate of registration granted under regulation 9 shall be valid for a period of five years from the date of its issue. [Amended by SEBI (Change in Conditions of Registration of Certain Intermediaries) (Amendment) Regulations, 2016, w.e.f. 08-12-2016]: The certificate of registration granted under regulation 9 shall be valid till it is suspended or cancelled by the Board.","What was the validity period of an investment adviser's certificate of registration under the original SEBI (Investment Advisers) Regulations, 2013, and when was it changed to perpetual validity?","Under the original 2013 regulations, a certificate of registration was valid for a period of five years from the date of its issue and required renewal thereafter. This was changed to perpetual validity (valid till suspended or cancelled by the Board) by the Securities and Exchange Board of India (Change in Conditions of Registration of Certain Intermediaries) (Amendment) Regulations, 2016, which came into force on 8 December 2016.",,
78,TMP_013,temporal_reasoning,easy,"The SEBI (Mutual Funds) Regulations were originally notified in 1996. The definition of 'NAV' or 'Net Asset Value' was introduced as a defined term as part of later amendments. The definition of 'exit load' was inserted to mean the charge or fee levied by the mutual fund at the time of redemption or switch. The definition of 'total expense ratio' was also introduced, defined as the ratio of total of all expenses charged to the investors of a scheme to its daily net assets.","Which set of SEBI regulations originally established the regulatory framework for mutual funds in India that continues to govern mutual funds today, as reflected in the 2026 consolidated version?","The SEBI (Mutual Funds) Regulations, 1996",,
79,TMP_078,temporal_reasoning,easy,"Regulation 5(l) (inserted by SEBI (CRA) (Amendment) Regulations, 2018, w.e.f. 30-05-2018): the promoter of the credit rating agency, in terms of regulation 4, has a minimum shareholding of 26% in the credit rating agency.","When was the 26% minimum promoter shareholding requirement for credit rating agencies introduced under SEBI (CRA) Regulations, 1999?","The requirement for a minimum promoter shareholding of 26% in a credit rating agency was introduced by the SEBI (Credit Rating Agencies) (Amendment) Regulations, 2018, with effect from 30 May 2018. Prior to this amendment, the SEBI (CRA) Regulations, 1999 did not prescribe any minimum shareholding requirement for promoters. The 2018 amendment inserted Regulation 5(l) (eligibility criterion) and Regulation 9(e) (ongoing condition of certificate) to impose this requirement.",,
80,TMP_073,temporal_reasoning,easy,"Regulation 5(c) (original): the applicant has a minimum net worth of rupees five crores. [Substituted by SEBI (CRA) (Amendment) Regulations, 2018, w.e.f. 30-05-2018]: the applicant has a minimum net worth of rupees twenty five crore.","When was the minimum net worth requirement for credit rating agency applicants under SEBI (CRA) Regulations, 1999 raised, and by how much was it increased?","The minimum net worth requirement was raised by the SEBI (Credit Rating Agencies) (Amendment) Regulations, 2018, with effect from 30 May 2018. The original 1999 regulations set a minimum of Rs five crore. The 2018 amendment increased this to Rs twenty-five crore — a five-fold increase of Rs twenty crore.",,
81,TMP_003,temporal_reasoning,hard,"The SEBI (LODR) Regulations, 2015 were published in the Official Gazette on 2nd September 2015, and shall come into force on the ninetieth day from the date of their publication: Provided that the provisions of sub-regulation (4) of regulation 23 and regulation 31A shall come into force on the date of notification of these regulations. The definition of 'mainstream media' was inserted by the SEBI (LODR) (Second Amendment) Regulations, 2023 w.e.f. 15.7.2023.","Under SEBI LODR Regulations 2015, which provisions came into force on the date of notification itself rather than after the ninety-day waiting period?",Sub-regulation (4) of regulation 23 and regulation 31A,,
82,TMP_010,temporal_reasoning,hard,"The term 'main board' in SEBI LODR Regulations was originally cross-referenced to regulation 106N of the SEBI (ICDR) Regulations, 2009. This cross-reference was substituted by the SEBI (LODR) (Second Amendment) Regulations, 2021 w.e.f. 5.5.2021 to refer instead to regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018.","After May 2021, which regulation number in which SEBI regulations defines the term 'main board' for the purposes of SEBI LODR Regulations 2015?","Regulation 2(ee) of the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018",,
83,TMP_045,temporal_reasoning,hard,"Illustration 3: Net profit (PAT) for FY 20X1-X2 (A): ₹1,500 crore. Interim dividend paid for FY 20X1-20X2 (H): ₹500 crore. Maximum Eligible Dividend (G): ₹1,125 crore. As the bank has already paid interim dividend of ₹500 crore, the final dividend shall not be more than (G) - (H).","In Illustration 3 of the RBI SFB Dividend Directions 2026, the bank paid interim dividend during FY 20X1-X2 before declaring the final dividend. What does this sequencing imply about when the Maximum Eligible Dividend constraint applies — at the time of the interim dividend, or cumulatively across both payments?","The constraint applies cumulatively across both payments. The Maximum Eligible Dividend (₹1,125 crore) is the total permitted across the full financial year. Since ₹500 crore has already been paid as interim dividend, the final dividend is capped at the remaining ₹625 crore (₹1,125 - ₹500).",,
84,TMP_085,temporal_reasoning,hard,"Regulation 10(1)(b)(viii): Invocation of pledge by Scheduled Commercial Banks or Public Financial Institutions as a pledgee was listed as an acquisition in the ordinary course of business exempt from open offer obligations. Regulation 29(4) proviso: the disclosure requirement on encumbrance does not apply to a scheduled commercial bank or public financial institution or a housing finance company or a systemically important non-banking financial company as pledgee. The housing finance company and SBNFC exemption was inserted by the Third Amendment Regulations, 2018, w.e.f. 31-12-2018.","When were housing finance companies and systemically important NBFCs added to the list of pledgees exempt from disclosure obligations under the encumbrance provisions of SEBI Takeovers Regulations, and what was the scope of the original exemption?","The original exemption in Regulation 29(4) covered only scheduled commercial banks and public financial institutions acting as pledgees in ordinary business. The Third Amendment Regulations, 2018, effective December 31, 2018, expanded this to also include housing finance companies (registered with NHB, deposit-taking or with asset size of Rs 500 crore or more) and systemically important non-banking financial companies. The expansion recognised the growing role of these institutions as lenders against pledged shares.",,
85,TMP_084,temporal_reasoning,hard,"Regulation 5A was substituted by the SEBI (SAST) (Third Amendment) Regulations, 2021, w.e.f. 6-12-2021. The original Regulation 5A (inserted by the SEBI (Listing of Specified Securities on Institutional Trading Platform) Regulations, 2013) read: 'The acquirer may delist the company in accordance with the Securities and Exchange Board of India (Delisting of Equity Shares) Regulations, 2009.' The new Regulation 5A provides a detailed delisting offer framework referencing the Delisting Regulations, 2021 and includes a two-attempt structure.",How did the SEBI Takeovers Regulations provisions on combined open offer and delisting evolve from 2013 to 2021?,"In 2013, a basic Regulation 5A was inserted allowing an acquirer making an open offer to also delist under the Delisting Regulations, 2009, with specific disclosure conditions. In December 2021, the Third Amendment Regulations substituted the old Regulation 5A with a comprehensive new framework referencing the updated Delisting Regulations, 2021. The new Regulation 5A introduced: (a) detailed conditions for acquirer eligibility; (b) a two-payment structure (indicative price if delisting threshold met, open offer price if not); (c) a two-attempt delisting structure; and (d) updated timelines for withdrawal announcements.",,
86,TMP_068,temporal_reasoning,hard,"Regulation 4(g) (original, pre-2020): the key investment team of the Manager of AIF has adequate experience, with at least one key personnel having not less than five years experience in advising or managing pools of capital or in fund or asset or wealth or portfolio management or in the business of buying, selling and dealing of securities or other financial assets and has relevant professional qualification. [Substituted by SEBI (AIF) (Amendment) Regulations, 2020, w.e.f. 19-10-2020]: team has at least one key personnel with relevant NISM certification AND at least one with professional qualification in finance or CFA Charter.","How did the SEBI (AIF) (Amendment) Regulations, 2020 change the eligibility requirements for the key investment team of an AIF Manager, and what was the significance of this change?","The SEBI (Alternative Investment Funds) (Amendment) Regulations, 2020 (w.e.f. 19-10-2020) substituted Regulation 4(g) to replace the experience-based standard with a certification-based standard. The original requirement was for at least one key personnel to have not less than five years of experience in managing pools of capital or securities plus a relevant professional qualification. The 2020 amendment replaced this with two separate requirements: (i) at least one key personnel must hold a relevant SEBI-specified certification (not a minimum years-of-experience requirement), and (ii) at least one key personnel must hold a finance-related professional qualification or CFA Charter. The same person may fulfill both requirements. The key significance is the shift from experience as the primary criterion to certification as the primary requirement.",,
87,TMP_054,temporal_reasoning,hard,"The original Regulation 47 of SEBI (Mutual Funds) Regulations required: 'Every mutual fund shall ensure that the asset management company computes and carries out valuation of investments made by its scheme(s) in accordance with the investment valuation norms specified in the Eighth Schedule.' This obligation was subsequently moved to Regulation 25(19) and Regulation 47 was substituted by the SEBI (Mutual Funds) (Amendment) Regulations, 2023.","Under the original SEBI (Mutual Funds) Regulations, which regulation required mutual funds to ensure that their AMC computed valuations in accordance with the Eighth Schedule?",Regulation 47,,
88,TMP_056,temporal_reasoning,hard,"SEBI (Mutual Funds) Regulations, 1996: 'The mutual fund having an aggregate of securities which are worth Rs. 10 crores or more, as on the latest balance-sheet date, shall subject to such instructions as may be issued from time to time by the Board settle their transactions entered on or after January 15, 1998, only through dematerialised securities.' (This provision was inserted by the SEBI (Mutual Funds) (Amendment) Regulations, 1998, w.e.f. 12-1-1998.)",From what date were mutual funds with securities worth Rs.10 crore or more required to settle transactions only through dematerialised securities?,"Transactions entered on or after January 15, 1998",,
89,TMP_011,temporal_reasoning,hard,"The SEBI Takeover Regulations 2011 came into force on the thirtieth day from the date of their publication on 23 September 2011. The phrase 'is required to be made under these regulations' in the definition of 'frequently traded shares' was substituted by the SEBI (Substantial Acquisition of Shares and Takeovers) (Second Amendment) Regulations, 2018, w.e.f. 11-09-2018. Prior to this amendment, the phrase read as 'is made'.","Before September 2018, what phrase was used in the SEBI Takeover Regulations 2011 in the definition of 'frequently traded shares' in place of 'is required to be made under these regulations'?",Is made,,
90,TMP_086,temporal_reasoning,hard,"Regulation 30 (continual disclosures) was omitted by the SEBI (SAST) (Second Amendment) Regulations, 2021, w.e.f. 1-4-2022. Prior to omission, Regulation 30 required every person holding 25%+ and all promoters to disclose their aggregate shareholding as of March 31 each year within 7 working days from year-end. Regulation 29(1) was also substituted by the same amendment, shifting from requiring disclosure only by the acquirer doing the acquisition to requiring disclosure by any acquirer (together with PAC) whose aggregate acquisition reaches 5% or more.","What happened to the annual continual disclosure requirement for promoters and major shareholders under SEBI Takeovers Regulations 2011, and when was it removed?","Regulation 30, which required every person holding 25% or more of voting rights and all promoters to disclose their aggregate shareholding as of March 31 each financial year (within 7 working days from year-end), was omitted by the Second Amendment Regulations, 2021, with effect from April 1, 2022. This was part of a broader overhaul of disclosure obligations, including changes to Regulation 29. The annual continual disclosure was likely subsumed into or replaced by disclosure requirements under the Listing Obligations and Disclosure Requirements Regulations, 2015.",,
